area_or_cohort	current_owner_and_size	consumer_evidence	law_vs_existing_owner	disposition	target_and_R2_cut
holonic-body crate	crates/holonic-body; no_std body crate	Cargo dependents: holonic-membrane and holonic-life. life::incidence_production imports body::incidence; other life modules consume body chart types. No application directly imports body.	Incidence has oriented cells and ∂²=0, already Holon Complex in holonic-core::complex and Lean Holon/Complex + Objects/Pairing. Exact numerics/geometry partly overlap relational-geometry and holonic-core. Distinct body charts include Cog/Rung, register solve_window, Soul cross_ratio and event-specific ports/channel encodings; uniqueness alone does not make these foundational laws.	Fold consumed complex/geometry math into named owners where equations coincide; retire body-specific lineage charts after exact caller mapping; unresolved unique scalar claims require equations and a proposed Lean owner before retirement; no age-based deletion.	R2 may retire body crate after life callers are migrated or retired. Preserve event-incidence ∂² at holonics::complex; no forwarding crate.
holonic-membrane crate	crates/holonic-membrane; 14 Rust source files; depends body, holonic-structure, holonic-abi	Cargo dependent holonic-life. Public types feed life::native_intelligence; no longer has a circulation ABI dependent after its retirement. No application directly imports membrane.	CausalMembrane is owned by holonic-structure; the redundant membrane re-export is removed after confirming no live Rust caller used it. Growing/live carriers and sparse/ranked surfaces are application/storage charts. Compare any standing quotient to holonic-core::standing and Lean Foundation; no independent general law established by the crate boundary.	Fold identical structural owners; retire life-only charts after R2 consumer map; any unique standing equation needs its Lean/guide owner first.	Remove membrane crate and update/retire life callers; retained general structure belongs in holonics.
holonic-surface crate	crates/holonic-surface; wgpu/spirv and pollster frontend over body	Workspace membership only: no other current Cargo manifest depends on `soma-surface`, and no Rust source outside this crate imports `surface`, `FeltSurface`, `SleepingBody`, or its API. `life/Cargo.toml` has no surface dependency. The crate alone includes `accelerators/rust-gpu/soma.spv`; `accelerators/rust-gpu` is excluded from the workspace and no current host caller drives its builder. Workspace-wide Cargo checks compile the crate, but its tests exercise only the standalone SLEEP body codec.	The M4/M5 card pipelines and lineage chart were an unconsumed Vulkan realization; no unique general Holon law is identified at this boundary. Their measured/historical claims belong to dated research records. SLEEP v2–v9 decoding/writing is likewise unconsumed save-format compatibility, not a law to port; plan §0.2 retires old save readers.	Retire the crate, WGPU/SPIR-V artifact and excluded builder after retaining any unique measured result in its dated record. No formal-law transfer is indicated by this source audit; preserve the body-owned source laws and their extant Lean owners.	R2 retires `holonic-surface` independently of `life`; workspace membership, artifact comments/ownership and the WGPU dependency are updated with the Vulkan apparatus removal. Historical M4/M5 results remain in the research record; the SLEEP decoder does not carry forward.
holonic-language crate	crates/holonic-language; no_std generic reflective codec runtime	Cargo dependents: holonic-life and its own reflective_runtime tests. life uses ReflectiveRuntime in agentic_language, decomposing_codec and language cohorts. No app direct Cargo edge found.	Unique typed causal runtime relation: face causes codec version; continuation advances/rests/reflects; reflection returns revised codec lineage. It is source-neutral and not plainly the same as current Holon/Generator/Receiver owners. This is the strongest candidate for law extraction before R2; inspect exact Lean analogues before deciding it is unique.	Move its operation equation/state transitions into Lean Holonics (or a named guide and #62 obligation) before deleting Rust; the unconsumed Rust implementation can then retire per §0.1. Do not leave a Rust compatibility facade.	Prerequisite to R2: equation-level map of reflective continuation/reflection into Generator + Receiver/Deposition, or new Lean declaration if absent; then retire the crate and update all life callers.
holonics-workspace crate	crates/holonics-workspace; workspace/rest/application package	Cargo dependent: applications/holonics-workbench adapter and tests. Depends hna, life, engine; other consumer is application itself. This is live application integration, not an accelerator runtime.	Artifact manifest, variants, evaluation and workspace orchestration are app boundary operations, not a foundational mathematical law. Workbench has its own adapters/runtime callers.	Keep as application package if workbench depends on it; assess disentangling `life` dependency during R2, but do not delete the workspace from the lineage census just because its name says workspace.	Remain applications/workspace or merge with holonics-workbench at later application cut; replace `life` types only as part of caller migration.
holonic-circulation-abi crate	crates/holonic-circulation-abi; unpublished JSON/opaque-handle cdylib ABI (retired in R2)	The only in-repo Rust consumer was holonics-hna/tests/alpha_matrix.rs; no configured install/build consumer, C header, foreign-language source caller, local libholonics_circulation_abi artifact, or GitHub release/package evidence found. External user-local dynamic loading remains unobservable.	Schema v2, handle registry, error mapping, panic fence, and C buffer ownership were boundary apparatus. No unique mathematical law; session lifecycle and diffusion laws stay in life/holonic-engine/Lean.	Retired after removing the HNA test-only edge and preserving its direct-vs-ABI complete-boundary equality check in the census record. ABI-specific transport regression is intentionally removed with the retired interface.	R2 cut is represented by removal of crate, workspace member, HNA test and lock/docs references; direct application lifecycle tests remain. No Cargo run is reported in this bounded audit.
holonic-life top-level	crates/holonic-life/src; 238 Rust files, 36 top-level declared modules; Cargo binary eros plus 278 examples	Cargo consumers: holonics-workspace, holonics-workbench (through workspace/eros adapters), holon-plate (life APIs), plus engine/mount/body/membrane/language. CUDA source owners include live_current_cuda, returned_contact_cuda, text_material_cuda, material_shadow_cuda, recurrent_section_cuda and morphological_language/conduct_cuda.	Crate is a heterogeneous Soma/Eros application lineage. It contains exact geometry/incidence charts, native intelligence and reflection, receiver/standing charts, codecs, material readers, CUDA runners and campaign-specific organisms. Compare each general law to holonic-core, relational-geometry, Lean Foundation/Geometry/Transport, HNN formula and current guides; Rust uniqueness alone is not preservation criterion.	R2 cut must split by named equation and actual consumer, not delete whole crate. Retire unconsumed historical organisms/examples; migrate any live application calls; extract any source-neutral law to Lean/guide first; retain no legacy save readers or forwarding paths.	No single crate move. Life-only app machinery retires or remains application-boundary code. General retained math lands holonics / Lean before consumers update.
life module cohort: geometry/incidence	addressed_span, exact_world, mathematical_particle, mathematical_source, incidence_production, exchange_world_tube, current_world, reconstruction_fiber, receiver_history, causal_section	Mostly internal `life` imports. incidence_production explicitly consumes body::incidence and engine::dimensional_wave; mathematical_source feeds life incidence; exchange_world_tube appears in holon-plate/application adapter. Search each public item/call before R2.	Oriented complex ∂²/stokes maps to core complex and Lean Pairing. Screw/phase/transport maps to relational-geometry and Lean Geometry/Transport. Receiver-relative quotient maps to core standing/compression and Lean Foundation. Cohort names alone do not prove whole operation is equivalent.	Keep/move only equations used by a live consumer and absent from target owners; application source charts may stay at app boundary. Retire duplicate Rust realization after law ownership is clear.	Prerequisites: explicit caller matrix for holon-plate/workbench and map of event identity/ports to core complex; migrate consumers in same R2 commits.
life module cohort: language/conversation/ecology	agentic_language, laboratory_language, relational_language, morphological_language, suffix_ecology, resonance_ecology, dialogue_lineage, dialogue_native_spool, decomposing_codec, reintegrating_elaboration, holonic_training, form_mouth, founded_mouth, exposure_codec	Most are life-internal; holon-plate consumes selected public records; holonics-workbench's eros adapter executes life. `holonic_language` runtime referenced by agentic_language/decomposing_codec. Examples exercise Eros text/dialogue/codec cohorts.	Codec and corpus behavior are boundary charts. ReflectiveContinuation is the source-neutral unique law candidate above. Current mathematical loss and learning contracts are ratio/receiver/standing laws in docs and Lean; codecs do not own them.	Retire obsolete application/corpus organisms; keep current consuming application only through explicit boundary migration. Extract reflective runtime contract to Lean before removing its Rust owner.	Prerequisites: map every external item used by workbench/plate and split application codec from source-neutral reflection contract; then update app callers.
life module cohort: CUDA/resident conduct	live_current_cuda, returned_contact_cuda, text_material_cuda, material_shadow_cuda, recurrent_section_cuda, morphological_language::conduct_cuda	Each includes mount::SOMA_PTX and symbols/launch contracts in holonic-mount. `holonic-engine` has CUDA PTX tests, but they use the same `accelerators/cuda-kernel` artifact; mount's tests and six gate bins include_bytes it. Engine source has section_layout_adoption tests loading mount::SOMA_PTX.	These are Soma runtime consumers of the nvptx artifact, separate from 83 engine C++ kernels; not the resident HNN owner from §0.3. Their kernels implement operation contracts currently named in holonic-mount and life callers.	Current source evidence disproves “only holonic-life and one engine file” as a complete consumer statement: the engine's section_layout_adoption tests load mount::SOMA_PTX, and holonic-mount has direct include_bytes/tests/gates. R2 cannot retire cuda-kernel before relocating/removing these consumers and deciding which mount/launch laws survive as CUDA backend.	R2 remove Soma life consumers only with corresponding accelerator cut; M1 should move surviving driver/kernel/launch contracts together into holonics-cuda. `holonic-words` is still consumed by holonic-core/holonic-mount host code as well as accelerator, so fold/retire only after ratio move and all callers updated.
