path	claim_and_status	disposition	source_or_superseding_path	verification	reason
research/records/2026-08-14_THE_EMISSION_HAS_NO_CHART_TRANSITION_BETWEEN_THE_GOAL_FRAME_AND_THE_LEMMA_FRAME.md	measured Lean-emission audit: current output has no chart transition between requested goal frame and lemma frame; interprets rendered artifacts, not verdict counts	keep	research/records/2026-08-14_THE_EMISSION_HAS_NO_CHART_TRANSITION_BETWEEN_THE_GOAL_FRAME_AND_THE_LEMMA_FRAME.md; compare docs/FORMAL_FRAMEWORK.md	Read artifact-level measurements and exact target/current-frame boundary; later kernel acceptance records do not repair this source/goal chart issue. Raw emission artifacts not regenerated.	Keep this unique causal-map diagnosis; do not replace it with aggregate kernel verdict totals.
research/records/2026-08-14_THE_ORACLE_TAUGHT_THE_DOMAIN_AND_D_NOW_MATCHES_LEAN_SEVENTEEN_OF_SEVENTEEN.md	measured exact source-domain correspondence: `D` matches Lean 17/17 across four modules; bounded sample only	keep	research/records/2026-08-14_THE_ORACLE_TAUGHT_THE_DOMAIN_AND_D_NOW_MATCHES_LEAN_SEVENTEEN_OF_SEVENTEEN.md; compare formal source/entry guides	Read declaration list, `#check @d` measurement and 17-declaration limit; not re-run.	Unique bounded oracle/domain binding measurement.
research/records/2026-08-14_THE_RECOGNITION_PRECEDES_THE_RUN_AND_THE_STRUCTURAL_REFUSALS_WENT_TO_ZERO.md	measured real-Lean recognition-before-run and structural refusals to zero across three completed atlas movements	keep	research/records/2026-08-14_THE_RECOGNITION_PRECEDES_THE_RUN_AND_THE_STRUCTURAL_REFUSALS_WENT_TO_ZERO.md; compare docs/FORMAL_FRAMEWORK.md	Read real kernel-return status and scope; not re-run.	Keep exact multi-arm Lean result; do not promote seven declarations from adjacent records into a complete formal engine.
research/records/2026-08-14_THE_TYPED_ATLAS_IS_A_FLOOR_AND_FOUR_STANDING_OWNERS_WERE_BYPASSED.md	measured critique of typed atlas floor and four bypassed standing owners; endpoint reading graded as interpretation	keep	research/records/2026-08-14_THE_TYPED_ATLAS_IS_A_FLOOR_AND_FOUR_STANDING_OWNERS_WERE_BYPASSED.md; compare docs/plans/THE_REPOSITORY_CENSUS.md	Inspected four owner paths and measurements; current census covers current tree but does not reproduce this historical capability audit.	Keep unique source audit and its non-endpoint interpretation.
research/records/2026-08-15_FROZEN_IS_A_MEASURED_PROPERTY_AND_THE_SEAL_IS_THE_INSTRUMENT.md	implemented exact ErosRest and measured three-arm/frozen property; standard junction law; reflection/generation reading remains interpretation	keep	research/records/2026-08-15_FROZEN_IS_A_MEASURED_PROPERTY_AND_THE_SEAL_IS_THE_INSTRUMENT.md; compare docs/HOLON.md	Read truth grades and falsifier; no source/experiment rerun.	Keep exact rest and measured arms separate from interpretive reflection.
research/records/2026-08-15_THE_FOURTH_REPAIR_WAS_BUILT_AND_REVERTED_AND_THE_SUB_COMPOSITION_IS_WHERE_IT_STOPS.md	fourth repair built then reverted; measured defect remains at sub-composition boundary	keep	research/records/2026-08-15_THE_FOURTH_REPAIR_WAS_BUILT_AND_REVERTED_AND_THE_SUB_COMPOSITION_IS_WHERE_IT_STOPS.md; compare current source history	Read exact driver/timing claims and explicit revert; no rerun.	Keep the failed/reverted intervention as the only record of why that boundary is still open.
research/records/2026-08-16_EVERY_ROUTE_TO_ZETA_PAYS_GAMMA_AND_ONLY_ONE_PAYS_IT_IN_A_FINITE_SHIFT_ORBIT.md	proved-standard zeta/Gamma and fundamental-unit chart result plus aperture-bounded measurements for finite shift-orbit route	keep	research/records/2026-08-16_EVERY_ROUTE_TO_ZETA_PAYS_GAMMA_AND_ONLY_ONE_PAYS_IT_IN_A_FINITE_SHIFT_ORBIT.md; compare 2026-07-23 and 2026-09 RH records	Read declared theorem/measurement scopes and commands; no broad RH claim.	Keep source-specific finite-orbit result and aperture measurements.
research/records/2026-08-16_THE_CORNER_BREAKS_THE_GROUP_LAW_AND_ITS_REMAINDER_IS_A_HOLONOMY.md	proved group-law criterion/involution relation and measured corner holonomy examples; classical/interpretive grades separated	keep	research/records/2026-08-16_THE_CORNER_BREAKS_THE_GROUP_LAW_AND_ITS_REMAINDER_IS_A_HOLONOMY.md; compare docs/WINDING_CARRY_AND_PLACEMENT.md	Inspected proof/measurement boundaries; guide shares holonomy vocabulary but does not duplicate this corner counterexample.	Keep the exact group-law obstruction and typed correspondence.
research/records/2026-08-16_THE_COUNT_GATED_SPEECH_NOT_ADMISSION_AND_THE_EXCISION_IS_REFUTED.md	measured count-gated speech/admission distinction; planned algebraic excision falsified; standard additivity and cyclic subgroup results retained	keep	research/records/2026-08-16_THE_COUNT_GATED_SPEECH_NOT_ADMISSION_AND_THE_EXCISION_IS_REFUTED.md; compare 2026-08-16 kernel-admission successor	Read command-backed returns and refutation; no rerun.	Keep the failed excision and bounded admission behavior with its exact scope.
research/records/2026-08-16_THE_KERNEL_ANSWERS_SO_THE_ADMISSION_LAW_APPLIES_TO_MATHEMATICS_UNCHANGED.md	real Lean kernel confirms admission law for mathematics unchanged; measured kernel returns and formulation-node obstruction	keep	research/records/2026-08-16_THE_KERNEL_ANSWERS_SO_THE_ADMISSION_LAW_APPLIES_TO_MATHEMATICS_UNCHANGED.md; compare docs/FORMAL_FRAMEWORK.md	Read toolchain/mathlib scope and same-corpus control; not re-run.	Unique formal-admission result; do not generalize from this theorem corpus.
