path	claim_and_status	disposition	source_or_superseding_path	verification	reason
research/records/2026-08-23_THE_FINITE_TIME_VORTICITY_CLASSICAL_XI_THETA_COEFFICIENT_AND_UNBOUNDED_INCIDENCE_SQUEEZE_RETURNS.md	The finite-time vorticity, classical xi, theta-coefficient, and unbounded-incidence squeeze returns — ## Scope and authority **[established-bounded; formal-checked]** This phase adds seven owner-local Lean modules, exposes the phase.	keep	research/records/2026-08-23_THE_FINITE_TIME_VORTICITY_CLASSICAL_XI_THETA_COEFFICIENT_AND_UNBOUNDED_INCIDENCE_SQUEEZE_RETURNS.md; compare docs/plans/THE_REPOSITORY_RESTRUCTURE.md §3.5–3.6/§4 K3–K4; docs/HOLONIC_FLUID_CONSTRUCTION.md; formal/elementary-holonics/MILLENNIUM_FORMAL_CATALOG.md	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	Unique checked theorem, measured receipt, falsifier/correction, or stage transition. Preserve its exact hypotheses, model/receiver aperture and open remainder; no same-scope replacement established.
research/records/2026-08-23_THE_IMMEDIATE_LEAN_FRONTIER_RETURNS_CURL_COMMUTATION_CLASSICAL_XI_A_CONCRETE_GAP_AND_A_CANONICAL_BSD_DEFECT.md	The immediate Lean frontier returns curl commutation, classical xi, a concrete gap, and a canonical BSD defect — ## Scope and authority **[established-bounded; formal-checked]** The phase adds six owner-local Lean modules, updates the Athena, `CLAUDE.md`, construction-state, and `Scratch/` material remained outside the phase. **[open]** No Millennium Prize Problem is solved by this phase. The returns below remove exact	keep	research/records/2026-08-23_THE_IMMEDIATE_LEAN_FRONTIER_RETURNS_CURL_COMMUTATION_CLASSICAL_XI_A_CONCRETE_GAP_AND_A_CANONICAL_BSD_DEFECT.md; compare docs/plans/THE_REPOSITORY_RESTRUCTURE.md §3.5–3.6/§4 K3–K4; docs/HOLONIC_FLUID_CONSTRUCTION.md; formal/elementary-holonics/MILLENNIUM_FORMAL_CATALOG.md	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	Unique checked theorem, measured receipt, falsifier/correction, or stage transition. Preserve its exact hypotheses, model/receiver aperture and open remainder; no same-scope replacement established.
research/records/2026-08-23_THE_OPTICAL_FIELD_GREW_FROM_COMPONENTS_INTO_NATIVE_CONSTRAINT_SECTIONS_AND_E1_AWAITS_RELEASE_ADMISSION.md	The optical field grew from components into native constraint sections and E1 awaits release admission — **Kind:** construction return and capability address **Truth status:** `implemented-exact` for the addressed incidence, reconstruction and intervention	keep	research/records/2026-08-23_THE_OPTICAL_FIELD_GREW_FROM_COMPONENTS_INTO_NATIVE_CONSTRAINT_SECTIONS_AND_E1_AWAITS_RELEASE_ADMISSION.md; compare CONSTRUCTION_STATE.md; docs/THE_MACHINE.md; the named adjacent release/correction records	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	Unique checked theorem, measured receipt, falsifier/correction, or stage transition. Preserve its exact hypotheses, model/receiver aperture and open remainder; no same-scope replacement established.
research/records/2026-08-23_THE_PARALLEL_LEAN_SQUEEZE_CLOSES_THE_ENERGY_GROWTH_REFINEMENT_AND_PERIOD_ALGEBRA_GATES.md	The parallel Lean squeeze closes the energy, growth, refinement, and period-algebra gates — ## Scope and authority **[established-bounded; formal-checked]** The phase changed only owner-local Lean sources, the Athena, `CLAUDE.md`, construction-state, and `Scratch/` material remained outside the phase.	keep	research/records/2026-08-23_THE_PARALLEL_LEAN_SQUEEZE_CLOSES_THE_ENERGY_GROWTH_REFINEMENT_AND_PERIOD_ALGEBRA_GATES.md; compare CONSTRUCTION_STATE.md; docs/THE_MACHINE.md; the named adjacent release/correction records	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	Unique checked theorem, measured receipt, falsifier/correction, or stage transition. Preserve its exact hypotheses, model/receiver aperture and open remainder; no same-scope replacement established.
research/records/2026-08-23_THE_RECURRING_LABORATORY_TRANSPORT_CONDENSED_INTO_NATIVE_HEXIS_AND_L2_AWAITS_RELEASE_ADMISSION.md	The recurring laboratory transport condensed into native hexis, and L2 awaits release admission — **Truth statuses:** `definition` for the declared L2 receiver/history aperture; `proved-derived` grade; `open` for release admission until the sole complete receiver passes.	keep	research/records/2026-08-23_THE_RECURRING_LABORATORY_TRANSPORT_CONDENSED_INTO_NATIVE_HEXIS_AND_L2_AWAITS_RELEASE_ADMISSION.md; compare CONSTRUCTION_STATE.md; docs/THE_MACHINE.md; the named adjacent release/correction records	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	Unique checked theorem, measured receipt, falsifier/correction, or stage transition. Preserve its exact hypotheses, model/receiver aperture and open remainder; no same-scope replacement established.
research/records/2026-08-24_DIVISION_RETURNED_AS_A_TRANSPORT_FIBRE_PARTITIONS_RETAINED_THEIR_BOUNDARIES_AND_DIVISORS_BECAME_SIGNED_CHART_LEDGERS.md	Division returned as a transport fibre, partitions retained their boundaries, and divisors became signed chart ledgers — **Kind:** exterior Lean construction return and cross-owner synthesis. **Scope:** `soma/formal/elementary-holonics`; this record schedules no Rust/CUDA construction and ## Grade this phase. `crates/holonic-engine/src/exponentiated_ratio.rs` returns an exact pairwise	keep	research/records/2026-08-24_DIVISION_RETURNED_AS_A_TRANSPORT_FIBRE_PARTITIONS_RETAINED_THEIR_BOUNDARIES_AND_DIVISORS_BECAME_SIGNED_CHART_LEDGERS.md; compare docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; the formal owner named in the record	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	Unique checked theorem, measured receipt, falsifier/correction, or stage transition. Preserve its exact hypotheses, model/receiver aperture and open remainder; no same-scope replacement established.
research/records/2026-08-24_THE_ANNIHILATOR_CERTIFICATE_PRUNED_SIXTY_THREE_FACES_TO_NINE_AND_RETAINED_EVERY_ZERO.md	The annihilator certificate pruned sixty-three faces to nine and retained every zero — **Scope:** HD1 exterior Lean theorem station; this record schedules no Rust/GPU deed and does not **Truth status:** each material claim is graded locally under `canon/EPISTEMIC_GRADES.md`.	keep	research/records/2026-08-24_THE_ANNIHILATOR_CERTIFICATE_PRUNED_SIXTY_THREE_FACES_TO_NINE_AND_RETAINED_EVERY_ZERO.md; compare docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; the formal owner named in the record	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	Unique checked theorem, measured receipt, falsifier/correction, or stage transition. Preserve its exact hypotheses, model/receiver aperture and open remainder; no same-scope replacement established.
research/records/2026-08-24_THE_BOOLEAN_POWER_LEDGER_TENSORIZED_HAAR_AND_REDUCED_THE_UNIFORM_HODGE_KERNEL_TO_THREE_AXIS_MASSES.md	The Boolean power ledger tensorized Haar and reduced the uniform Hodge kernel to three-axis masses — **Scope:** exterior Lean theorem station; this record schedules no Rust/GPU deed and does not move **Truth status:** each material claim is graded locally under `canon/EPISTEMIC_GRADES.md`.	keep	research/records/2026-08-24_THE_BOOLEAN_POWER_LEDGER_TENSORIZED_HAAR_AND_REDUCED_THE_UNIFORM_HODGE_KERNEL_TO_THREE_AXIS_MASSES.md; compare docs/plans/THE_REPOSITORY_RESTRUCTURE.md §3.5–3.6/§4 K3–K4; docs/HOLONIC_FLUID_CONSTRUCTION.md; formal/elementary-holonics/MILLENNIUM_FORMAL_CATALOG.md	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	Unique checked theorem, measured receipt, falsifier/correction, or stage transition. Preserve its exact hypotheses, model/receiver aperture and open remainder; no same-scope replacement established.
research/records/2026-08-24_THE_CANDIDATE_DEPARTED_BEFORE_SIBLING_TESTIMONY_RETURNED_AND_THE_COMPLETE_GRADED_DEFECT_CROSSED_THE_SAME_BODY.md	The candidate departed before sibling testimony returned, and the complete graded defect crossed the same body — **Date:** 2026-08-24 **Authority:** admission record for the second station of	keep	research/records/2026-08-24_THE_CANDIDATE_DEPARTED_BEFORE_SIBLING_TESTIMONY_RETURNED_AND_THE_COMPLETE_GRADED_DEFECT_CROSSED_THE_SAME_BODY.md; compare docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; the formal owner named in the record	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	Unique checked theorem, measured receipt, falsifier/correction, or stage transition. Preserve its exact hypotheses, model/receiver aperture and open remainder; no same-scope replacement established.
research/records/2026-08-24_THE_COMPLETE_LABORATORY_EXCHANGE_RETURNED_AS_GENERATOR_NATIVE_HEXIS_AND_ATHENA_ALPHA_WORKED_FROM_ITS_OWN_TERRAIN.md	The complete laboratory exchange returned as generator-native hexis, and Athena alpha worked from its own terrain — **Grade:** `established-bounded; implemented-exact; measured` [established-bounded; implemented-exact; measured] AA0--AA4 passed as one construction phase. The	keep	research/records/2026-08-24_THE_COMPLETE_LABORATORY_EXCHANGE_RETURNED_AS_GENERATOR_NATIVE_HEXIS_AND_ATHENA_ALPHA_WORKED_FROM_ITS_OWN_TERRAIN.md; compare CONSTRUCTION_STATE.md; docs/THE_MACHINE.md; the named adjacent release/correction records	Inspected the record’s status, exact scope and internal regrades; compared the named newer/current owner. Historical artifacts and runs were not replayed.	The record itself withdraws its admission interpretation, but explicitly retains unique measured source/apparatus returns. Keep those receipts and pair them with the cited lexical-atlas counterexample/corrective authority.
