path	claim_and_status	disposition	source_or_superseding_path	verification	reason
research/records/2026-07-28_THE_CAUSAL_BASIS_OPENS_THE_LOCAL_HORIZON_THE_RETURN_GROWS_THE_RECEIVER_POPULATION.md	bounded production construction of GOES-16 GLM event→group→flash receiver ecology in RELAMPAGO window; exact generated artifacts/tests and loss source are recorded	keep	research/records/2026-07-28_THE_CAUSAL_BASIS_OPENS_THE_LOCAL_HORIZON_THE_RETURN_GROWS_THE_RECEIVER_POPULATION.md; compare docs/RECEIVER_HOLARCHY.md	Read implementation/result tail: 150 library and 8 desktop tests passed, 2 device/cost tests ignored; generated artifacts and source owners identified. Outputs under target were not independently regenerated.	Unique native GLM hierarchy and receiver-loss diagnosis; keep as a scoped geophysical application, not a general physical channel theorem.
research/records/2026-07-28_THE_CAUSED_FIELD_GROWS_THROUGH_OBSTRUCTION_THE_RECEIVER_RESTRICTS_ITS_LOCAL_GERMS.md	ratified corrected whole-image field construction; fixed-scene ecology removed; source has corrected production scope	keep	research/records/2026-07-28_THE_CAUSED_FIELD_GROWS_THROUGH_OBSTRUCTION_THE_RECEIVER_RESTRICTS_ITS_LOCAL_GERMS.md; compare docs/HARDWARE_AND_MODALITY_BOUNDARIES.md	Read internal correction and final source/receiver scope; no later exact result duplicates this corrected whole-image construction.	Keep the corrected source account; do not carry forward the removed fixed-scene construction.
research/records/2026-07-28_THE_CONFIGURATION_FIBER_RETURNS_ITS_MIXED_DIFFERENCES_THE_RECIPROCAL_SUPPORT_CLOSES_AS_A_HOLON.md	ratified/built production organizational receiver and product-configuration traversal; held-out repair prediction/falsification; explicit ports and conserved transfer	keep	research/records/2026-07-28_THE_CONFIGURATION_FIBER_RETURNS_ITS_MIXED_DIFFERENCES_THE_RECIPROCAL_SUPPORT_CLOSES_AS_A_HOLON.md; compare docs/ELEMENTARY_OBJECTS.md and docs/HOLON.md	Inspected complete status and open/closed grades; current Holon guide states data contracts but not this completed construction result.	Keep the unique configuration-fiber, reciprocal-Holon and held-out prediction outcome.
research/records/2026-07-28_THE_CONTACT_COMPLEX_RETURNS_ITS_GENERATORS_THE_DUAL_RECEIVER_RECONSTRUCTS_THE_DIVISOR_ECOLOGY.md	production receiver reconstructs unlabeled latent prime-factor/divisor ecology from integer contacts; preserves open fibers and asks for discriminating contacts	keep	research/records/2026-07-28_THE_CONTACT_COMPLEX_RETURNS_ITS_GENERATORS_THE_DUAL_RECEIVER_RECONSTRUCTS_THE_DIVISOR_ECOLOGY.md; compare docs/WINDING_CARRY_AND_PLACEMENT.md	Read final adversarial tests: irreducibility fronts, factor return, multiplicative face and altered-certificate refusal are recorded. The full run was not replayed.	Unique source-specific generator/divisor reconstruction result; do not present it as general factorization knowledge.
research/records/2026-07-28_THE_FUTURE_SPLITS_THE_HISTORY_THE_ORGANIZATIONAL_FIBER_TRANSPORTS_OVER_CAUSAL_STATE.md	ratified built exact causal-state learner; held-out prediction/counterexample refinement; organizational fibers and quotient paths emitted	keep	research/records/2026-07-28_THE_FUTURE_SPLITS_THE_HISTORY_THE_ORGANIZATIONAL_FIBER_TRANSPORTS_OVER_CAUSAL_STATE.md; compare docs/HOLON.md	Inspected status and detailed separated conditions; no current formal owner duplicates the measured held-out result.	Keep the exact causal-state learning return and its test boundaries.
research/records/2026-07-28_THE_MODE_IS_THE_LOCAL_LAW_THE_CARD_RETURNS_ONLY_THE_CAUSED_DIFFERENCE.md	CUDA relation runtime built; exact local mode/equivalence closure and lightning standing identical; 180 library and 2 live CUDA tests pass	keep	research/records/2026-07-28_THE_MODE_IS_THE_LOCAL_LAW_THE_CARD_RETURNS_ONLY_THE_CAUSED_DIFFERENCE.md; compare docs/plans/THE_REPOSITORY_RESTRUCTURE.md	Read `## Result` and status, including open mode transport; no run replayed. Current migration changes crate placement but does not duplicate the result.	Unique device-resident mode return; keep while limiting it to stated tests and aperture.
research/records/2026-07-28_THE_OPEN_FACTOR_FIBER_RETURNS_THE_PRIME_THE_ZETA_RECEIVER_MEASURES_RECURRENCE.md	ratified prime-recognition/predictability correction; source-specific exact factor-fiber return and zeta recurrence reading	keep	research/records/2026-07-28_THE_OPEN_FACTOR_FIBER_RETURNS_THE_PRIME_THE_ZETA_RECEIVER_MEASURES_RECURRENCE.md; compare the 2026-09-23 zero-navigation record	Inspected embedded exact rational examples and regrade; newer zero-navigation work shares the divisor/fiber language but not the same prime recurrence evidence.	Keep this bounded arithmetic result and its non-identification of an acoustic/Zeta spectrum.
research/records/2026-07-28_TRAINING_CONDITIONS_THE_ECOLOGY_THE_RETURN_GRADES_BEFORE_IT_ENTERS.md	ratified general training/inheritance/generation/grading policy; specific per-sample image trainer in §§4–5 falsified and removed	fold	research/records/2026-07-28_THE_POINT_CARRIES_THE_LOOP_THE_COMPLETED_COMPLEX_RETURNS_AS_ONE_RECEIVER_CELL.md; docs/ELEMENTARY_OBJECTS.md §8 Deposition; docs/HNN_FORMULA.md	Read the named successor’s byte-identical five-image/200-image prediction result and its scope; no archived auxiliary receipt is cited. The per-sample image capability is explicitly canceled.	Fold the general changed-standing policy into the deposition/training owner and the falsified image-training attempt into the successor/retraction history; retain neither as an active experiment.
research/records/2026-07-29_THE_PASSAGE_CAUSES_THE_CANDIDATE_THE_SWING_CAUSES_THE_ASSOCIATION.md	production receiver-caused passage and interface lineage built; exact recurrence graded; host/downstream build verified; no raw-modality coupling claim	keep	research/records/2026-07-29_THE_PASSAGE_CAUSES_THE_CANDIDATE_THE_SWING_CAUSES_THE_ASSOCIATION.md; compare docs/HOLON.md	Read the exact recurrence status and explicit no-cross-modal-claim boundary; this is a unique realized receiver passage.	Keep as a bounded association result, not a general audio/lightning law.
research/records/2026-07-29_THE_QUERY_OPENS_AT_SEVERAL_SCALES_THE_RESPONSE_RESTS_ONLY_WHEN_ITS_FIBERS_RETURN.md	current Eros simultaneous-scale language authority; ordered query fibers, cross-source response phases and exact return; no privileged token scale	keep	research/records/2026-07-29_THE_QUERY_OPENS_AT_SEVERAL_SCALES_THE_RESPONSE_RESTS_ONLY_WHEN_ITS_FIBERS_RETURN.md; compare docs/CONVERSATION_DATA.md and docs/HNN_FORMULA.md	Inspected exact receipts and source-scale claims; current guide shares the operator vocabulary but not this complete result.	Keep the source/receiver-specific language construction.
