path_or_group	tracked_files	DOCS_R0_inbound_sources	classification	measured_result_or_source_role	current_owner_or_required_immutable_citation	retirement_prerequisites
archive/reference/README.md	1	1	historical duplicate / fold candidate	Fifteen-line provenance map names six imported snapshots and warns that archive location is not current authority; no measured result or unique mathematical law.	docs/REPOSITORY.md for archive map; docs/canon/THE_HOLOBROCHOS_SPINE.md §1/§6 currently cites the warning; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/README.md	Transfer the six snapshot labels/source roles to docs/REPOSITORY.md (or preserve immutable source coordinate); update THE_HOLOBROCHOS_SPINE.md lines 41 and 644 to cite docs/REPOSITORY.md plus research/papers/source/synopsis/AUDIT.md. Preserve source coordinate for historical quote. This is the first safe narrow fold; do not fold any snapshot folder with it.
archive/reference/engine-a07ff376/HOLONIC_MACHINE_OWNERSHIP.md	1	2	unique historical architecture receipt	A dated 2026-08-02 ownership ledger, not a measured runtime receipt; its dependency graph and known Clone/ownership debt are historical source testimony.	Current architecture/source owners: docs/ARCHITECTURE_MAP.md, docs/REPOSITORY.md, AGENTS.md; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/engine-a07ff376/HOLONIC_MACHINE_OWNERSHIP.md	July 30 records cite this exact ledger. Update both citations to the corresponding present owners and retain its immutable coordinate as historical evidence; verify any cited architecture claim against current source before retiring.
archive/reference/holobrochos-a07ff376/src/holobrochos/CANON/FRACTAL.md	1	1	unique historical source/claim record	Dated 2026-07-01 interpretation with its own instrument/table; not current doctrine. Current `regime_reading.rs` cites it as source for its port.	docs/canon/THE_HOLOBROCHOS_SPINE.md for grade/scope; crates/holonic-engine/src/regime_reading.rs is the consuming owner; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/holobrochos-a07ff376/src/holobrochos/CANON/FRACTAL.md	Keep source lineage in the Rust owner comment or move citation to its current scoped record/guide; mark conjectural interpretation separately from the live regime-reading law before retiring.
archive/reference/holobrochos-a07ff376/src/holobrochos/THEORY/32_THE_TRANSFORMER.md	1	1	unique historical source/claim record	2026-07-04 ratified transformer/reafference passage, cited by the Manifold tablet; a source claim, not a standalone measured result.	docs/ELEMENTARY_OBJECTS.md and docs/HOLON.md for current generator/transport contracts; docs/canon/TABLET_THE_MANIFOLD.md cites it; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/holobrochos-a07ff376/src/holobrochos/THEORY/32_THE_TRANSFORMER.md	Preserve exact provenance coordinate in the tablet/research record; update the live definition citation to the current guide only where the guide actually states the same relation.
archive/reference/holobrochos-a07ff376/src/holobrochos/THEORY/33_THE_NECK.md	1	1	unique historical source/claim record	2026-07-04 neck/medium claim. THE_OWNER_ATLAS uses it as source testimony; it is not evidence that every neck realizes that law.	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/canon/THE_OWNER_ATLAS.md; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/holobrochos-a07ff376/src/holobrochos/THEORY/33_THE_NECK.md	Retain source/claim grade and exact §2 coordinate when updating THE_OWNER_ATLAS. Only retire after current elementary contract states the accepted typed boundary/medium return and unaccepted generalization remains labeled.
archive/reference/holobrochos-a07ff376/src/holobrochos/THEORY/54_THE_DISCRETE_MANIFOLD.md	1	2	unique historical source/claim record	2026-07-05 current/action-topology interpretation, cited by THE_MANIFOLD §4 and THE_TURN §3; no measured physical 4D result.	docs/THE_MACHINE.md, docs/HOLON.md and docs/WINDING_CARRY_AND_PLACEMENT.md for present current/topology scope; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/holobrochos-a07ff376/src/holobrochos/THEORY/54_THE_DISCRETE_MANIFOLD.md	Keep exact source coordinate in both canon consumers or replace with the cited dated derivation record. Do not elevate the historic interpretation to a proved spacetime law.
archive/reference/holobrochos-a07ff376/src/holobrochos/THEORY/FOSTER.md	1	1	unique historical source/claim record	2026-07-07 communication ontology and direct user testimony; July 21 communication-field record cites this as source, not a benchmark.	docs/HOLON.md receiver/participation contract; research/records/2026-07-21_THE_INTELLIGENCE_IS_THE_COMMUNICATING_FIELD_THE_OBSERVER_ENTERS_THE_SUCCESSOR.md; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/holobrochos-a07ff376/src/holobrochos/THEORY/FOSTER.md	Preserve exact source coordinate and testimony grade in the record. Retire only after no live user-quote/source attribution points to the archived file.
archive/reference/holobrochos-a07ff376/src/soma/FORMULA.md	1	8	unique source corpus and source fixture	9,718-line 2026-07-09 founding corpus. Static citations identify exact historical clauses; multiple live HNN examples and corpus_census read `archive/reference/holobrochos-a07ff376/src/soma` as corpus input, so it is an executable fixture, not just a document link.	crates/holonic-engine/src/corpus_census.rs; crates/holonic-engine/examples/{derivation_curvature_flow,derivation_holonomy,derivation_moves,conditioned_derivation_body,foreign_codec_intake,the_statement_is_founded,the_research_act}.rs; crates/holonic-life/src/reintegrating_elaboration.rs; crates/holonic-engine/src/{lib,collocation}.rs; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/holobrochos-a07ff376/src/soma/FORMULA.md	Migrate actual source-family roots to a named research fixture or caller-supplied source; replace static line references with current guide/record plus immutable source coordinate. Preserve input/source extent and re-run consumers before subtree retirement.
archive/reference/holobrochos-a07ff376/src/soma/MATHEMATICAL_HOLONICS.md	1	2	unique historical research route	Old laboratory mathematical orientation explicitly says current synopsis/registry supersede it; current paper README cites it as pinned history, not authority.	research/papers/source/README.md; research/papers/source/mathematics/README.md; docs/RH_CENTERED_CURRENT_UPPER_BOUND.md; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/holobrochos-a07ff376/src/soma/MATHEMATICAL_HOLONICS.md	Update both paper README links to the maintained subject route and retain immutable source coordinate for lineage; confirm the linked synopsis/registry owns every claim still presented as current.
archive/reference/minimum-mechanics-a07ff376/src/soma/ELEMENTARY_MECHANICS.md	1	3	unique historical mechanics contract	608-line exact event/occurrence specification is marked built but result awaiting review; it carries typed mechanics distinctions and explicit corrections, not a completed general physics result.	docs/ELEMENTARY_OBJECTS.md; docs/HOLON.md; docs/DEVELOPMENT.md; the July 21 interface/hypergraph records; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/minimum-mechanics-a07ff376/src/soma/ELEMENTARY_MECHANICS.md	Map its event, occurrence, joining and compression clauses to current elementary objects; preserve clauses still unique in a guide/record or exact citation. Keep review status and original scope when replacing citations.
archive/reference/minimum-mechanics-a07ff376/src/soma/MATHEMATICAL_RESEARCH_NETWORK.md	1	2	unique historical research route	Mechanism-indexed bibliography and explicit scope/negative claims; current source/paper routes supersede navigation, but primary-source relations may not be duplicated.	research/papers/source/README.md; research/papers/source/mathematics/README.md; research/records/README.md; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/minimum-mechanics-a07ff376/src/soma/MATHEMATICAL_RESEARCH_NETWORK.md	Replace the two pinned links with maintained research routes and preserve immutable source coordinate; route any unique literature relation into a current record before retiring.
archive/reference/pureholonics-seed/src/pureholonics/01_THE_AXIOMS.md	1	1	unique source corpus and source fixture	Seed axiom capsule is cited as historic foundation by the July 21 communicating-field record. Multiple engine examples and corpus census read the seed directory as literal source material; its strong “exactly two axioms” wording is historical, not the current authority.	docs/ELEMENTARY_OBJECTS.md for current object vocabulary; crates/holonic-engine/src/corpus_census.rs and source-root examples; research/records/2026-07-21_THE_INTELLIGENCE_IS_THE_COMMUNICATING_FIELD_THE_OBSERVER_ENTERS_THE_SUCCESSOR.md; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/pureholonics-seed/src/pureholonics/01_THE_AXIOMS.md	Do not cut while examples ingest this source family. Move the corpus fixture and update all source roots, preserving exact revision/extent; keep the historical axiom wording graded as source testimony.
archive/reference/soma-seed-2695ca0/src/soma/FORMULA.md	1	1	unique historical source variant	A 256-line earlier formula is explicitly identified by HISTORY_AND_REFINEMENT; it is not byte-identical to holobrochos FORMULA and therefore records a distinct variant.	docs/canon/HISTORY_AND_REFINEMENT.md; current docs/THE_MACHINE.md and docs/ELEMENTARY_OBJECTS.md; source 0e860129d1c8cece4295efa0c2695a003e87d0ee:archive/reference/soma-seed-2695ca0/src/soma/FORMULA.md	Retain the variant/source distinction in HISTORY_AND_REFINEMENT and replace the path with this immutable source coordinate before retiring.
