driver	crate	lines	owners	declared_source	exterior	output_manifest	closure_manifest	named_in	subject
crates/holonic-engine/examples/a_float_is_a_dyadic_and_a_deleted_tail.rs	crates/holonic-engine	1226	holonic_engine::exact_value;holonic_engine::reopening;relational_geometry::exact;relational_geometry::exact_analysis	no	none	no	no	5	A float is a dyadic and a deleted tail: the mouth on `reopening.rs`
crates/holonic-engine/examples/analytic_field_transport.rs	crates/holonic-engine	973	relational_geometry::integer	yes	deposit	no	yes	6	-
crates/holonic-engine/examples/arithmetic_dimensional_receiver.rs	crates/holonic-engine	1703	holonic_engine::encode_ppm;holonic_engine::exact_residue_conic_phase	yes	deposit	no	yes	7	Interactive exact dimensional receiver over the production counting ecology
crates/holonic-engine/examples/arithmetic_monodromy_ecology.rs	crates/holonic-engine	278	-	yes	none	no	no	3	Exact arithmetic-monodromy experiment over one growing quintic ecology
crates/holonic-engine/examples/bit_black_box_reconstruction.rs	crates/holonic-engine	286	holonic_engine::bit_cubical_geometry;holonic_engine::compile_x86_64_bit_program	no	none	no	no	8	Exact reconstruction of an opaque recurrent bit transducer
crates/holonic-engine/examples/causal_state_grammar_experiment.rs	crates/holonic-engine	394	-	no	deposit	no	no	3	-
crates/holonic-engine/examples/certified_presentation_workbench.rs	crates/holonic-engine	303	holonic_engine::certified_face;holonic_engine::exact_value;holonic_engine::presentation_gauge;relational_geometry::format_rat;relational_geometry::integer;relational_geometry::rat	yes	deposit	no	no	3	The workbench: present exact mathematics, emit the artifact, then READ IT BACK
crates/holonic-engine/examples/codec_separation_cross_check.rs	crates/holonic-engine	616	holonic_engine::codec_recovery;holonic_engine::codec_system;holonic_engine::receiver_exact_compression	no	none	no	no	2	Drive `codec_system`: recover an opaque tokenizer from testimony, read it as an
crates/holonic-engine/examples/complex_system_conduct_classes.rs	crates/holonic-engine	630	holonic_engine::algebraic;holonic_engine::causal;holonic_engine::complex_system;holonic_engine::dilation;holonic_engine::placement;holonic_engine::receiver_exact_compression;holonic_engine::supported_realizers	no	none	no	no	2	Drive `complex_system`: compress a real graded causal complex and return its conduct classes
crates/holonic-engine/examples/conditioned_derivation_body.rs	crates/holonic-engine	731	holonic_engine::conditioned_derivation;holonic_engine::derivation_atlas;holonic_engine::rebase_invariants	yes	none	no	no	4	Condition a body on the project's own natural-language mathematics, ask it and an unconditioned
crates/holonic-engine/examples/curvature_is_the_adjacency.rs	crates/holonic-engine	258	holonic_engine::discrete_curvature;holonic_engine::winding_inertia	no	none	no	no	3	The deficit organ and the winding organ operate on one matrix, and this is where they meet
crates/holonic-engine/examples/curved_receiver_phase_atlas.rs	crates/holonic-engine	484	-	yes	deposit	no	no	2	-
crates/holonic-engine/examples/derivation_atlas_reader.rs	crates/holonic-engine	593	holonic_engine::derivation_atlas;holonic_engine::rebase_invariants	yes	none	no	no	9	Read the machine's own deposited derivations back, and compute their invariants
crates/holonic-engine/examples/derivation_curvature_flow.rs	crates/holonic-engine	887	holonic_engine::conditioned_derivation;holonic_engine::derivation_atlas;holonic_engine::derivation_curvature;holonic_engine::discrete_curvature;relational_geometry::integer	yes	none	no	no	2	Read a conditioned body's production as a layout, take its curvature, run the flow, and spend
