path	lines	elementary object/application	consumers (current static caller signal)	superseding owner	disposition	target	verification
accelerators/cuda-kernel/src/lib.rs	6241	accelerator/device source; elementary object mapping unresolved pending semantic owner review	no unique filename stem for static token scan; inspect parent module declarations/imports/re-exports	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
accelerators/cuda-smoke/src/lib.rs	41	accelerator/device source; elementary object mapping unresolved pending semantic owner review	no unique filename stem for static token scan; inspect parent module declarations/imports/re-exports	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
accelerators/rust-gpu/builder/src/main.rs	15	accelerator/device source; elementary object mapping unresolved pending semantic owner review	no unique filename stem for static token scan; inspect parent module declarations/imports/re-exports	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
accelerators/rust-gpu/src/lib.rs	859	accelerator/device source; elementary object mapping unresolved pending semantic owner review	no unique filename stem for static token scan; inspect parent module declarations/imports/re-exports	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
applications/derivation-atlas/src/main.rs	1538	application source; elementary object mapping unresolved pending semantic owner review	no unique filename stem for static token scan; inspect parent module declarations/imports/re-exports	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
applications/holon-plate/examples/emit_form.rs	224	application source; elementary object mapping unresolved pending semantic owner review	0 tracked source files mention `emit_form` as an identifier; examples: none	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
applications/holon-plate/src/census.rs	294	application source; elementary object mapping unresolved pending semantic owner review	397 tracked source files mention `census` as an identifier; examples: accelerators/cuda-kernel/src/lib.rs, applications/holon-plate/examples/emit_form.rs, applications/holon-plate/src/lib.rs, applications/holon-plate/src/main.rs, applications/holon-plate/src/plate.rs, applications/holon-plate/src/registry.rs, applications/holon-plate/src/schema.rs, applications/holon-plate/src/schemas/conditioned.rs	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
applications/holon-plate/src/deed.rs	138	application source; elementary object mapping unresolved pending semantic owner review	255 tracked source files mention `deed` as an identifier; examples: accelerators/cuda-kernel/src/lib.rs, applications/holon-plate/examples/emit_form.rs, applications/holon-plate/src/lib.rs, applications/holon-plate/src/main.rs, applications/holon-plate/src/registry.rs, applications/holon-plate/src/schema.rs, applications/holon-plate/src/schemas/conditioned.rs, applications/holon-plate/src/schemas/current.rs	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
applications/holon-plate/src/lib.rs	140	application source; elementary object mapping unresolved pending semantic owner review	no unique filename stem for static token scan; inspect parent module declarations/imports/re-exports	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
applications/holon-plate/src/main.rs	302	application source; elementary object mapping unresolved pending semantic owner review	no unique filename stem for static token scan; inspect parent module declarations/imports/re-exports	unresolved	unresolved	unresolved pending import/export, operator law, and consuming-call review	not listed in historical 41/40 candidate names; static token scan only (not build-confirmed); no deletion decision inferred from mention count
