path	claim_and_status	disposition	source_or_superseding_path	verification	reason
research/records/2026-07-21_THE_BLOCK_RETURNS_THE_CARRIER_THE_EXPRESSION_IS_ONLY_ONE_BOUNDARY.md	ratified transformer relational-field construction built/measured; exact result awaits Brandon review; scope is typed block transport/re-expression, not generic language capability	keep	research/records/2026-07-21_THE_BLOCK_RETURNS_THE_CARRIER_THE_EXPRESSION_IS_ONLY_ONE_BOUNDARY.md; compare docs/HNN_FORMULA.md and docs/CONVERSATION_DATA.md	Inspected status, result limits and the pending-review boundary; no later record or current guide reproduces this exact measured block-field result.	Keep its unique measured result and review status; do not promote it to general transformer or language capability.
research/records/2026-07-21_THE_COMMON_OCCURRENCE_IS_ONE_REGIONAL_CELL_THE_LATER_PRIME_MEETS_ITS_STANDING.md	authorized, built and host-measured common-prime fan; exact rest/remount, later receiver rebase and local phase return; no CUDA/visualization	keep	research/records/2026-07-21_THE_COMMON_OCCURRENCE_IS_ONE_REGIONAL_CELL_THE_LATER_PRIME_MEETS_ITS_STANDING.md; compare docs/WINDING_CARRY_AND_PLACEMENT.md	Read the bounded host result and explicit no-CUDA scope; later arithmetic source records do not repeat this prime-23 fan experiment.	Unique applied arithmetic receiver result; retain as an application instance of current ratio/phase objects.
research/records/2026-07-21_THE_CONTEXT_EDGE_MEETS_THE_NEXT_OCTET_TEXT_TRAINING_WORLD_PLAN.md	fixed-host text-training plan fulfilled after an exposure-boundary correction; one complete post-correction observation is deposited in a named successor	fold	research/records/2026-07-21_THE_OPEN_INTERIOR_STAYS_IN_THE_CHART_THE_TEXT_CURRENT_RECURS_AT_ITS_EDGE.md; archive/cpp-engine/evidence/observations/eros-text-training-01/RESULTS.md	Read the cited archived RESULTS.md: exact local recurrence, chronology effect, no unique held-out continuation, no language claim. The named successor records the corrected complete run and exact scope.	This plan’s unique measurement already has a result owner; fold the first-launch/correction summary into the successor and retire the duplicate plan.
research/records/2026-07-21_THE_DATA_REMAINS_STANDING_THE_INFORMANT_ENTERS_ONLY_WHERE_RELEVANCE_FORMS.md	ratified informant-ecology authority and future experiment roadmap; no model download or run; distinguishes persistent data from actual informant participation	keep	research/records/2026-07-21_THE_DATA_REMAINS_STANDING_THE_INFORMANT_ENTERS_ONLY_WHERE_RELEVANCE_FORMS.md; compare docs/CONVERSATION_DATA.md	Inspected no-run status, ecology proposal and admission constraints; current data guide does not contain this complete informant-lifecycle authority.	Keep as the sole detailed research requirement for informant ecology; it is a future experiment contract, not an implemented product claim.
research/records/2026-07-21_THE_FLOAT_IS_THE_DYADIC_FACE_THE_EUCLIDEAN_PATH_BECOMES_A_LATER_TOOL.md	ratified dyadic numerical ontology; raw-bit transformer amendment and bounded calculator built/measured in one fixed host run; calculator causality later regraded by §CXXXVIII	keep	research/records/2026-07-21_THE_FLOAT_IS_THE_DYADIC_FACE_THE_EUCLIDEAN_PATH_BECOMES_A_LATER_TOOL.md; research/records/2026-07-22_THE_DERIVED_FACE_MAY_SUBSTITUTE_FOR_THE_PARENT_THE_OPEN_RECEIVER_RETURNS_TO_THE_SOURCE.md	Read the internal regrade and named successor; exact arithmetic build/run remains distinct from the later causal interpretation. No raw run replayed.	Keep the numerical result and current regrade together; do not transfer the retracted causal reading.
research/records/2026-07-21_THE_FRACTION_CARRIES_THE_REBASE_WORD_THE_ZETA_QUOTIENT_REFINES_WITH_THE_RECEIVER.md	exact prime-fraction/rebase and zeta receiver derivation; no engine run; distinguishes ordered fraction geometry from collapsed residues	keep	research/records/2026-07-21_THE_FRACTION_CARRIES_THE_REBASE_WORD_THE_ZETA_QUOTIENT_REFINES_WITH_THE_RECEIVER.md; compare docs/WINDING_CARRY_AND_PLACEMENT.md and 2026-09-23 zero-navigation record	Read the derivation and no-run status; newer zero-navigation work shares receiver/rebase vocabulary but does not state this exact prime-fraction construction.	Keep the source-specific exact derivation and its non-RH scope.
research/records/2026-07-21_THE_HYPERGRAPH_SUPPLIES_THE_REWRITE_THE_TRIANGLE_CARRIES_THE_COMPARISON.md	authorized rewrite-enriched oriented event complex built; host/multicore/CUDA/rest comparisons exact	keep	research/records/2026-07-21_THE_HYPERGRAPH_SUPPLIES_THE_REWRITE_THE_TRIANGLE_CARRIES_THE_COMPARISON.md; compare docs/ELEMENTARY_OBJECTS.md	Inspected build/gate report and object definition; no current source or guide duplicates this measured rewrite-complex application.	Unique executable comparison remains useful as historical evidence; current elementary vocabulary governs future design.
research/records/2026-07-21_THE_INHERITED_FIELD_IS_HEXIS_THE_CURRENT_MOUNTS_ITS_RELATIONAL_REGION.md	ratified inherited-field/ECS direction; explicitly corrected to inherited competence and actual residency; research survey requested; no run	fold	research/records/2026-07-21_THE_DATA_REMAINS_STANDING_THE_INFORMANT_ENTERS_ONLY_WHERE_RELEVANCE_FORMS.md; docs/CONVERSATION_DATA.md	Checked the correction section and no-run status; the data/informant record supplies the refined experimental framing and constraints.	Fold the corrected residency/inherited-competence note into the informant ecology owner; discard only the provisional “development begins from nothing” framing.
research/records/2026-07-21_THE_INTELLIGENCE_IS_THE_COMMUNICATING_FIELD_THE_OBSERVER_ENTERS_THE_SUCCESSOR.md	ratified communicating-field/participating-observer derivation; no run; a denial of emergent world-mediated field is explicitly superseded	fold	docs/HOLON.md; docs/THE_MACHINE.md; docs/canon/THE_REALITY_OF_DIFFERENCE.md	Read the internal correction/supersession and compared current whole-field/receiver contracts; no separate theorem or measured result is reported.	Transfer the surviving communicating-field sentence and the correction that bodies remain real local closures into the current Holon/machine guide, then fold the repeated ontology.
research/records/2026-07-21_THE_INTERFACE_ADMITS_THE_JUNCTION_THE_EMANATION_CERTIFIES_ITS_BOUNDARY.md	authorized generalized elementary-mechanics construction built; one-core/eight-core/CUDA and durable-rest comparisons exact	keep	research/records/2026-07-21_THE_INTERFACE_ADMITS_THE_JUNCTION_THE_EMANATION_CERTIFIES_ITS_BOUNDARY.md; compare docs/ELEMENTARY_OBJECTS.md	Read exact execution and rest scope; no later record reproduces this general carrier/junction result.	Keep as a bounded implementation return; do not expand it into an unmeasured general engine claim.
