issue	title	state	labels	disposition	target_or_parent	verification
#1	Holonic Interaction unit: media, contact exchange and the derived modal response	CLOSED	lean,rust	closed_other_needs_historical_context	git_or_issue_history	gh issue list all at 925b94b8+R0
#2	Jet staircase (T8): finite jet ladder, exact difference↔jet passage and encoding by repeated integration	CLOSED	tube,lean,rust	closed_other_needs_historical_context	git_or_issue_history	gh issue list all at 925b94b8+R0
#3	Neck station (T6): the pinhole where flux converges and diverges between media	CLOSED	tube,lean,rust	closed_other_needs_historical_context	git_or_issue_history	gh issue list all at 925b94b8+R0
#4	Join: one executable source–medium–neck–medium–receiver chain read at a real consumer	CLOSED	tube,receiver,lean,rust	closed_other_needs_historical_context	git_or_issue_history	gh issue list all at 925b94b8+R0
#5	Cross the time and entropy axes along an oriented chain	OPEN	tube,open-math,physics	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#6	Plural family generic in its coordinate address	CLOSED	tube,lean,rust	retire_closed	dropped_application_or_artifact	gh issue list all at 925b94b8+R0
#7	Wave 8 tracker: Holonic Interaction unit, staircase and neck, join, review	CLOSED	workflow	closed_other_needs_historical_context	git_or_issue_history	gh issue list all at 925b94b8+R0
#8	Run the installed predictors against an M5 design and compare with the reference structure	CLOSED	receiver,measurement,found-by-execution	closed_other_needs_historical_context	git_or_issue_history	gh issue list all at 925b94b8+R0
#9	Compute evaluation returns from the declared source and receiver family	CLOSED	receiver,measurement,rust	retire_closed	dropped_application_or_artifact	gh issue list all at 925b94b8+R0
#10	Interface coupling in composed constitutive receiver laws	CLOSED	receiver,lean,rust	retire_closed	dropped_application_or_artifact	gh issue list all at 925b94b8+R0
#11	Second structural instance beyond the M5 RBX1 readings	CLOSED	receiver,measurement,found-by-execution	retire_closed	dropped_application_or_artifact	gh issue list all at 925b94b8+R0
#12	Second device ring of signed 128-bit words with the engine's carrier refusal	CLOSED	rust,cuda	folded_closed	#76	gh issue list all at 925b94b8+R0
#13	Device arm for the accumulating enclosure radius (`AccumulationLaw::IntegerAdd`)	CLOSED	cuda	folded_closed	#76	gh issue list all at 925b94b8+R0
#14	Per-region operator family and base-pointer registry	CLOSED	rust,cuda	folded_closed	#76	gh issue list all at 925b94b8+R0
#15	Common context ownership for module, stream and buffer handles	CLOSED	defect,rust,cuda,found-by-review	folded_closed	#76	gh issue list all at 925b94b8+R0
#16	Carry a complete source episode through the unified field session	OPEN	receiver,measurement,hnn	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#17	Build the HNN on helical pair interaction sites: generator-machine geometry, closure inference and receiving consequences	OPEN	rust,cuda,pair-contact,generator,hnn	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#18	Represent boundary and field normal material with priors and compact statistics	OPEN	measurement,deposition,hnn	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#19	Return whole-field contact gradients and publish material changes atomically	CLOSED		closed_other_needs_historical_context	git_or_issue_history	gh issue list all at 925b94b8+R0
#20	Per-eigenvalue refinement owner on `ExactHodgeSpectrum`	OPEN	receiver,lean,rust,research-math	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#21	`MarkovTwoNSuffices`	OPEN	receiver,lean,open-math,research-math	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#22	Weierstrass division for the power-series form of `Λ/(ω_n)`	OPEN	tube,lean,open-math,research-math	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#23	Israel junction instance on the existing Lorentzian and Einstein-fluid foundations	OPEN	lean,open-math,physics	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#24	Moving-metric term `G_dot` in the rate form	OPEN	receiver,lean,rust,physics	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#25	Navigate active relations from formal law through native call to consumer	CLOSED	workflow,docs	closed_other_needs_historical_context	git_or_issue_history	gh issue list all at 925b94b8+R0
#26	Find tests that assert sentences about what the tree lacks	OPEN	defect,claim-correction,workflow,rust,restructure	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#27	Serial composition: multi-neck chains and the ordered chain of situated screws	OPEN	tube,receiver,lean,rust,pair-contact	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#28	Contact faces from the helical pair's slip map and from measured contact geometry	OPEN	rust,pair-contact	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#29	Edit torque at the clocked contact metric, with its residual expansion	CLOSED	rust	retire_closed	dropped_application_or_artifact	gh issue list all at 925b94b8+R0
#30	Connect the port-Hamiltonian medium to the covariant storage–flux closure `L_A = d_A† W d_A + C`	OPEN	tube,lean,open-math,holon,physics	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#31	Elastic exchange, surface storage and radiation terms of the contact balance	OPEN	receiver,open-math,pair-contact,physics	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#32	Source maps for the interpreted necks: pinching analyticity strip, p-adic neck, vortex interaction, whip	OPEN	tube,open-math,research-math	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#33	Lift the difference↔jet change of basis at an arbitrary rational step into Lean	CLOSED	tube,lean	folded_closed	#62	gh issue list all at 925b94b8+R0
#34	Lean lift of the unconditional neck rank bound (Fiedler–Markham nullity theorem)	CLOSED	lean,found-by-review	folded_closed	#62	gh issue list all at 925b94b8+R0
#35	Analytic width for irreducible pole factors of degree above two	OPEN	receiver,rust,open-math,ratio	keep_open	object_or_consumer_in_issue_body	gh issue list all at 925b94b8+R0
#36	Analytic width of a chain above 24 coordinates through the neck's `r` channels	CLOSED	receiver,rust,found-by-execution	closed_other_needs_historical_context	git_or_issue_history	gh issue list all at 925b94b8+R0
