arith.ratio-series-block	navigator, ratio, compression	step_r(a, S) = (r a, S + r a);  block (n, α, β): (a, S) ↦ (α a, S + β a);  single r = (1, r, r);  (n₁,α₁,β₁) then (n₂,α₂,β₂) = (n₁+n₂, α₂α₁, β₁ + β₂α₁);  compile(word).act = execute(word)	a rational series is carried by its current term and partial sum; a compiled block keeps the two coefficients that replay any ratio word, composes associatively and chronologically, and is a partial navigator sufficient for every continuation	exact rational ratios	L:Mathematics/RatioSeriesTransport:compose_act; L:Mathematics/RatioSeriesTransport:compile_act; L:Mathematics/RatioSeriesTransport:step_eq_single_act; D:ELEMENTARY_OBJECTS.md#emanation-and-resonance	formal-checked	instance-of:ratio.div-rem
series.block-future	navigator, compression, receiver	compile u = compile v ⇒ execute w (u-state) = execute w (v-state) for every later ratio word w, including the clocked continuation	equal compiled blocks preserve every future ratio word: the block is the future-sufficient quotient of the word	rational ratio words	L:Mathematics/RatioSeriesTransport:equal_blocks_preserve_every_ratio_word; L:Mathematics/RatioSeriesTransport:compiled_words_preserve_clocked_future	formal-checked	specializes:info.standing-quotient
series.block-fibre	navigator, compression	compile [1,1,1] = compile [1/2, 3, 2/3] = (3, 1, 3), yet their first steps give different partial sums;  ∀t ≠ 0, 2: compile [t, 2/t − 1, 1/(2−t)] = (3,1,3);  compile [t, (β−α−t)/t, α/(β−α−t)] = (3, α, β)	every three-event block has a rational family of factorizations: distinct routes, one complete action, different interiors (a plural preimage fibre)	t ≠ 0, β − α − t ≠ 0	L:Mathematics/RatioSeriesTransport:distinct_routes_same_block; L:Mathematics/RatioSeriesTransport:general_route_family; L:Mathematics/RatioSeriesTransport:route_family; L:Mathematics/RatioSeriesTransport:equal_block_different_interior	formal-checked	uses:info.preimage-fibre
series.order-in-partial-sum	navigator, ratio	two steps r then q vs q then r: final terms equal (r q a), partial sums differ by (r − q)a;  equal partial sums (1,0), (2,0) give different next sums	word order is invisible to the term but visible in the partial sum; a partial sum alone does not determine the continuation	rational ratios	L:Mathematics/RatioSeriesTransport:two_steps_sums_differ_by; L:Mathematics/RatioSeriesTransport:two_steps_terms_commute; L:Mathematics/RatioSeriesTransport:equal_partial_sums_different_next_sums	formal-checked	uses:arith.ratio-series-block
series.arctan-ratio	navigator, ratio, landmark	t_n(x) = (−1)ⁿ x^{2n+1}/(2n+1),  t_{n+1} = r_n t_n,  r_n = −x²(2n+1)/(2n+3);  x = 1/5: compile[r₀, r₁, r₂] = compile[−3/125, −721/1575, −3/3605]	the arctangent series is a ratio word with rational ratios; in the arctan(1/5) arm of Machin a different three-event route realizes the same block and clock	rational x	L:Mathematics/RatioSeriesTransport:arctanTerm_succ; L:Mathematics/RatioSeriesTransport:arctan_fifth_three_event_bridge	formal-checked	uses:arith.ratio-series-block
series.machin	landmark, navigator, cycle	π = 16 arctan(1/5) − 4 arctan(1/239);  (5 + i)⁴ = (239 + i)(2 + 2i)	Machin's formula is an exact phase constraint whose lifted identity is Gaussian-integer arithmetic: the phase of (5+i)⁴ equals that of (239+i) plus a quarter-turn of arg(1+i)	algebraic phase data, no convergence claim	L:Compression/Landmark/ConstraintIdentity:machin; L:Compression/Landmark/ConstraintIdentity:gaussian_machin_factorization	formal-checked	uses:ratio.log-branch
series.sine-iteration	landmark, navigator, cycle	F(x) = x + sin x:  F(nπ) = nπ, F(π + d) − π = d − sin d, F′(π) = 0, F′(0) = 2, F(x + 2π) = F(x) + 2π;  F advances on (0,π), retreats on (π,2π), maps [0,π] and [π,2π] into themselves	π is a superattracting fixed point of x + sin x and 0 a repelling one; the fixed-point data alone are not a convergence theorem for a nearest-multiple iteration	real x	L:Mathematics/PiIterationConstraint:F_pi_add; L:Mathematics/PiIterationConstraint:F_deriv_at_pi; L:Mathematics/PiIterationConstraint:F_add_two_pi; L:Mathematics/PiIterationConstraint:F_strictly_advances_Ioo_zero_pi; L:Mathematics/PiIterationConstraint:F_strictly_retreats_Ioo_pi_two_pi	formal-checked	uses:series.machin
radix.window	receiver, ratio, landmark	window_b(k, l, x) = ⌊b^{k+l} x⌋ mod b^l = scaled(l, b^k x);  scaled(l, y + j) = scaled(l, y) for j ∈ ℤ;  = ⌊b^l·frac(y)⌋ for b > 0	a radix window is the residue a receiver sees after an exact scaling: the digits at offset k are the fractional part of b^k x read at l places, blind to integer translation	b > 0	L:Mathematics/RadixWindowReceiver:window_eq_scaledWindow; L:Mathematics/RadixWindowReceiver:scaledWindow_int_translate; L:Mathematics/RadixWindowReceiver:scaledWindow_eq_fract_floor_of_pos	formal-checked	uses:ratio.div-rem
radix.window-certificate	receiver, landmark	L ≤ x ≤ U, ⌊b^{k+l}L⌋ = ⌊b^{k+l}U⌋ = K ⇒ window(k, l, x) = K mod b^l;  9 ≡ 19 (mod 10) with 9 ≠ 19	an enclosure whose endpoints share the scaled floor certifies the window of a constraint identity; agreement of endpoint residues alone does not (wraparound)	b > 0	L:Mathematics/RadixWindowReceiver:window_eq_of_endpoint_floors_eq; L:Mathematics/RadixWindowReceiver:endpoint_residue_agreement_wraparound	formal-checked	uses:radix.window
analytic.newton-derivative	navigator, landmark	N_λ(z) = z − λ f(z)/f′(z):  N_λ′(z) = 1 − λ + λ f(z) f″(z)/f′(z)²;  f′ ≠ 0 at zero of f ⇒ N_1′ = 0	the local Newton map derivative keeps both source jets; at a simple zero the full step is superattracting	f′(z) ≠ 0, second jet exists	L:Mathematics/AnalyticNavigation:hasDerivAt_newtonMap	formal-checked	uses:infer.newton-no-speed
