path	claim_and_status	disposition	source_or_superseding_path	verification	reason
research/records/2026-07-16_THE_LOSS_IS_THE_DIFFERENCE_THE_ADJOINT_CARRIES_ITS_CONSEQUENCE.md	ratified, built, CUDA-forward measured, exact repeat: oriented whole residual changes later conduct while scalar loss and terminal face stay fixed; numeric adjoint/generalized semantics remain open	keep	archive/cpp-engine/evidence/observations/transport-foil-world-01/RESULTS.md; compare docs/HNN_FORMULA.md	Read the archived RESULTS.md and the record’s measured-realization section; the exact transport-foil result is not reproduced by the current abstract loss contract. Raw campaign verifier was not rerun.	Current loss contract defines the ratio/covector but not this exact 31-edge Eisenstein transport-foil experiment. Keep the measurement and its limits; do not fold it as a duplicate of the loss definition.
research/records/2026-07-16_THE_POPULATION_IS_THE_TAXONOMY_THE_PROGRAM_DIFFERENCE_RETURNS.md	ratified, built, CUDA-forward measured, exact repeat: produced populations are boundary-conditioned; semantic/production claims remain open	keep	research/records/2026-07-16_THE_POPULATION_IS_THE_TAXONOMY_THE_PROGRAM_DIFFERENCE_RETURNS.md; compare docs/HNN_FORMULA.md	Inspected record result/status and in-record corrections; searched the named guide/newer records for a same-scope result. Raw historical run was not replayed.	This is a distinct measured population/contrast return, not just the boundary-conditioned probability law. Keep the exact campaign result and limits.
research/records/2026-07-16_THE_SELF_DUAL_LOCUS_BELONGS_TO_THE_FRAME.md	ratified RH framing; proof-oriented reading explicitly struck; local half-density and classical RH remain distinct	fold	docs/RH_CENTERED_CURRENT_UPPER_BOUND.md; research/records/2026-09-23_WEIL_SIGN_PARTITIONS_AND_THE_SEMILOCAL_POSITIVE_CARRIER.md	Inspected result/status and any supersession notice; checked the named current destination for overlapping law/result. Fold proposal only; no source file changed.	Current RH guide and newer positive-carrier audit state the line/receiver and keep RH open. Fold the ratification correction, not the struck proof claim.
research/records/2026-07-16_THE_TRIANGLE_IS_THE_LOCAL_CELL_THE_ORDERED_SHEET_IS_THE_PATH.md	ratified geometry/path derivation; its own §VI supersedes several earlier untyped C/d, C/r, orthogonality and quotient claims	fold	docs/WINDING_CARRY_AND_PLACEMENT.md; docs/HELICAL_GEOMETRY.md; docs/RETRACTIONS.md	Inspected result/status and any supersession notice; checked the named current destination for overlapping law/result. Fold proposal only; no source file changed.	The current winding/pair guides own local incidence, metric, carry and ordered transport. This record explicitly labels earlier clauses superseded; migrate the valid triangle/path core and correction history.
research/records/2026-07-16_THE_WORLD_CONTACT_THREADS_THE_WORD_THE_RECURRENT_PATH_BECOMES_A_SOURCE.md	ratified, built, CUDA-forward measured, exact repeat: ordered text/code/history paths become later source; native span exhausted as general hand	keep	research/records/2026-07-16_THE_WORLD_CONTACT_THREADS_THE_WORD_THE_RECURRENT_PATH_BECOMES_A_SOURCE.md; compare docs/CONVERSATION_DATA.md	Inspected record result/status and in-record corrections; searched the named guide/newer records for a same-scope result. Raw historical run was not replayed.	Unique measured workshop result with an explicit application boundary; later field-session work does not reproduce this source receipt.
research/records/2026-07-17_THE_ACTION_OCCURS_ONCE_THE_INCIDENCE_REMAINS_PLURAL.md	ratified successor built and CUDA-forward measured; complete path population read; 486 workspace tests passed, 3 ignored	keep	research/records/2026-07-17_THE_ACTION_OCCURS_ONCE_THE_INCIDENCE_REMAINS_PLURAL.md; compare docs/ELEMENTARY_OBJECTS.md	Inspected record result/status and in-record corrections; searched the named guide/newer records for a same-scope result. Raw historical run was not replayed.	Unique full-path population result and exact test gate. Current incidence/receiver definitions state the law but not this experiment.
research/records/2026-07-17_THE_BOUNDARY_WAVE_INTEGRATES_THE_SHEET_THE_EDGE_WORD_MAKES_THE_GEAR.md	ratified geometric derivation plus unique measured refinement: repeated recurrent path increased body from 1.10 GB to 6.45 GB over 775.540 s CUDA; no return-world contact; later typed current avoids monolithic expansion	keep	archive/cpp-engine/evidence/observations/factor-palindrome-world-01/RESULTS.md; compare docs/WINDING_CARRY_AND_PLACEMENT.md	Read the result section and archived factor-palindrome RESULTS.md; the claimed carriage/body-growth numbers and no-world-contact boundary match. The CUDA run was not replayed.	The current winding guide overlaps the polygon/cell law, but not this large exact run, failure boundary, or cost measurement. Preserve the historic result without presenting it as the current architecture.
research/records/2026-07-17_THE_CHANNEL_GROWS_THROUGH_THE_MESSAGE_THE_PROOF_IS_PRACTICED_CONDUCT.md	ratified communication/proof-practice derivation; a continuing encounter changes body, world and future question; no implementation result	fold	docs/THE_MACHINE.md; docs/HOLON.md	Inspected result/status and any supersession notice; checked the named current destination for overlapping law/result. Fold proposal only; no source file changed.	Current machine and situated-action guides state the same continuing source/receiver operation. Fold any useful wording into those owners; do not retain the old Universality Machine framing as a primitive.
research/records/2026-07-17_THE_DISTRIBUTION_STANDS_AS_THE_PIVOT_THE_RETURN_MINIMIZES_LOCAL_LOSS.md	ratified projective/periplus/source-render circuit and local-loss return authorized; no built result stated	fold	docs/HNN_FORMULA.md; docs/ELEMENTARY_OBJECTS.md#operator-contract	Inspected result/status and any supersession notice; checked the named current destination for overlapping law/result. Fold proposal only; no source file changed.	The current typed loss/ratio, transport and receiver contracts are the owners. This is an authorized derivation/plan, not a distinct experiment or theorem.
research/records/2026-07-17_THE_FACE_IS_A_QUOTIENT_THE_QUESTION_BUILDS_THE_INVARIANT.md	ratified quotient/invariant derivation; lemniscate equal-coordinate/different-hand result is cited from the July 15 LEMNISCATE REBASE 01 experiment	fold	research/records/2026-07-15_THE_GEAR_IS_THE_WORD_THE_FACE_IS_THE_TRANSPORT.md; docs/WINDING_CARRY_AND_PLACEMENT.md	Checked its own lemniscate claim against the original July 15 record, which owns the measurement; checked the current guide for the oriented-path/receiver law. No second run/result in this record.	This record develops quotient and closure language around an already-reported measurement; fold its nonduplicate geometric insight into the current winding guide, leaving the measurement with its original source record.
