code.perron-transition	navigator, ratio, receiver	P(s→t)=w_st·v_t/(λ·v_s); Σ_t P(s→t)=1 when Σ_t w_st·v_t=λ·v_s	a positive Perron mode normalizes nonnegative edge weights into a transition law	v_s≠0, λ≠0, row eigen-equation; P≥0 needs w≥0, v>0, λ>0	L:Foundation/ReceiverCodeCost:perronTransition_normalized; L:Foundation/ReceiverCodeCost:perronTransition_nonnegative	formal-checked	uses:compression.perron-code-balance
code.perron-detailed-balance	navigator, ratio	v_s²·P(s→t) = v_t²·P(t→s)	squared Perron weights balance the two directed currents of a symmetric weight	w_st=w_ts; v_s,v_t,λ≠0	L:Foundation/ReceiverCodeCost:perron_detailed_balance	formal-checked	uses:code.perron-transition
code.edge-production	ratio, receipt	σ_e(J⁺,J⁻) = (J⁺−J⁻)(log₂J⁺−log₂J⁻) ≥ 0,  σ_e(J⁻,J⁺)=σ_e(J⁺,J⁻)	paired directed-flux code production is nonnegative and blind to exchanging the two directions (not to reversing elapsed time)	J⁺,J⁻>0; a bit rate only when J± are occurrence rates on one clock; physical entropy production only through an admitted constitutive source	L:Foundation/ReceiverCodeCost:edgeCodeProduction_nonnegative; L:Foundation/ReceiverCodeCost:edgeCodeProduction_swap	formal-checked	face-of:xent.passage-production, uses:compression.perron-code-balance
infer.gibbs-posterior	navigator, receiver, compression	π_L(p) = 2^{−L(p)}/Z,  log π_L(p) = −ln2·L(p) − log Z,  Z=Σ_p 2^{−L(p)}	a declared description/data objective in bits read as a complete normalized-exponential receiver over candidate navigators	finite nonempty candidate population (feasibility is a subtype)	L:Foundation/GeneratorInference:posterior_log_mass; L:Foundation/GeneratorInference:posterior	formal-checked	instance-of:norm.normalized-exponential
infer.mdl-map-order	navigator, compression	π_L(a) ≤ π_L(b) ⇔ L(b) ≤ L(a);  argmin L = mode of π_L	MDL/MAP order is the order of one declared objective, not a second inference operation	finite candidate population	L:Foundation/GeneratorInference:posterior_mass_le_iff; L:Foundation/GeneratorInference:minimizer_iff_posterior_mode	formal-checked	uses:infer.gibbs-posterior, uses:compression.inference-posterior
infer.variational-gap	navigator, receiver, ratio	F(q) − F(π_L) = D(q‖π_L)/ln2,  F(q)=E_q[L] − H(q)/ln2,  F(π_L) ≤ F(q)	the Gibbs free energy prices any retained candidate family, with KL bits as its excess over the posterior	q a positive probability section	L:Foundation/GeneratorInference:variational_gap_eq_kl_bits; L:Foundation/GeneratorInference:variational_minimum	formal-checked	uses:xent.free-energy-kl, uses:compression.inference-posterior
infer.posterior-differences	navigator, ratio, compression	π_L = π_R ⇔ ∀i,j: L_i − L_j = R_i − R_j	a complete normalized inference face retains exactly the pairwise objective differences; a common offset is its fibre	finite candidates	L:Foundation/GeneratorInference:posterior_eq_iff_objective_differences	formal-checked	instance-of:norm.shift-fibre
infer.sufficient-statistic	navigator, compression, receiver	L(h,p) = L̃(s(h),p) + c(h) ⇒ π_{L(h)} = π_{L̃(s(h))}, and after every admitted history step when s is recursively closed	a history-dependent additive offset carries no model discrimination; a recursively closed statistic is a dynamic compression	factorization holds for every history and candidate	L:Foundation/GeneratorInference:sufficient_statistic_posterior; L:Foundation/GeneratorInference:sufficient_statistic_every_future; L:Foundation/GeneratorInference:sufficientHistoryCompression	formal-checked	instance-of:compression.history-compression, uses:compression.sufficient-statistic-inference
infer.code-cost-log-odds	navigator, ratio	log₂(π(a)/π(b)) = −[C(c_a−c_b) + (b_a−b_b) + (r_a−r_b) + (loss_a−loss_b)] for L = description + loss, description = C·cost+b+r	work cost, boundary terms and residuals all enter inference unless common to every candidate	description balance for every candidate	L:Foundation/GeneratorInference:code_cost_log_odds	formal-checked	uses:compression.serial-code-balance, uses:infer.gibbs-posterior
infer.coarse-fibre-objective	navigator, compression, receiver	L̄(c) = −log₂ Σ_{p∈c} 2^{−L(p)},  π_{L̄}(c) = Σ_{project p=c} π_L(p)	a class's effective description is its fibre log-sum, and Gibbs inference commutes with coarse graining	surjective projection onto classes	L:Foundation/GeneratorInference:posterior_coarse_eq_pushforward; L:Foundation/GeneratorInference:coarseObjective; L:Foundation/GeneratorInference:sum_fibreWeight	formal-checked	uses:infer.gibbs-posterior, uses:compression.coarse-posterior-pushforward
infer.count-statistic	navigator, compression	s(e::h) = step(e, s(h)),  s(h) = (#false, #true);  s(h)=s(h′) ⇒ π(h)=π(h′)	binary event counts are a closed sufficient statistic of a Bernoulli-loss inference	per-event losses fixed per candidate	L:Foundation/GeneratorInference:closed; L:Foundation/GeneratorInference:same_counts_preserve_inference	formal-checked	specializes:infer.sufficient-statistic, uses:compression.sufficient-statistic-inference
info.relevance-kernel	receiver, navigator, compression	K_fut = {x : ∀r ∀w, r(T_w x) = 0} ≤ K_now,  T_g K_fut ⊆ K_fut, and every present-blind navigator-invariant subgroup ≤ K_fut	the relevance kernel is the largest subgroup invisible to every receiver after every ordered navigator word	additive transports and receivers; finite ordered words	L:Foundation/CausalRelevance:futureCollapsed_is_greatest_generatorInvariant; L:Foundation/CausalRelevance:futureCollapsed_invariant; L:Foundation/CausalRelevance:futureCollapsed_le_presentCollapsed; L:Foundation/CausalRelevance:mem_futureCollapsed_iff	formal-checked	specializes:compression.kernel, uses:compression.kernel-greatest-invariant
quotient.static-compression	compression, receiver	first-coordinate quotient of Bool×Bool is exact at the present receiver; the exchange successor separates (b,0) and (b,1)	static receiver exactness does not imply exactness under successors	finite witness	L:Foundation/ReceiverHistoryCompression:separatingSuccessorReopensTheProposedQuotient; L:Foundation/ReceiverHistoryCompression:exchangeCoordinates	counterexample	obstructs:compression.history-compression, uses:compression.static-reopens-under-successor
