rh.zero-pair-lock-power	contact, landmark	P(σ,γ) = ⟨(1,1)| M_face(J(ξ_ρ, ξ_{1−ρ̄})) |(1,1)⟩ = (2σ−1)², ξ_ρ=(σ,γ,0), ξ_{1−ρ̄}=(1−σ,γ,0)	the power of the reflected zero pair, advanced together on the isotropic unit face, is the squared advance defect	σ,γ∈ℚ; isotropic unit face; algebraic locus only, locates no zero	L:RH/ZeroPairLock:reflectedPairPower_eq	formal-checked	instance-of:contact.power, uses:pair.helical-power
rh.zero-pair-lock-foster	contact, parametron, landmark	P(σ,γ)=0 ⇔ σ=½ ⇔ ∃L>0, L_Foster(ρ−½)=L	the pair locks exactly on the seam, which is exactly where the Foster tank of ρ′=ρ−½ is lossless	σ,γ∈ℚ, γ≠0	L:RH/ZeroPairLock:reflected_pair_locked_iff_on_seam; L:RH/ZeroPairLock:locked_iff_foster_inductance_positive; D:docs/ELEMENTARY_OBJECTS.md#the-targets	formal-checked	uses:rh.zero-pair-lock-power, uses:rh.foster-inductance-seam, instance-of:parametron.ising-lock
rh.foster-pair-tank	parametron, landmark	1/(z−ρ) + 1/(z−(1−ρ)) = 2(z−½)/((z−½)²−(ρ−½)²) = w·L/(w²LC+1), w=z−½, C=½, L=−2/ρ′²	a reflected zero pair is the impedance of one parallel LC tank	z≠ρ, z≠1−ρ, ρ′=ρ−½≠0	L:RH/FosterTanks:pair_eq_tank; L:RH/FosterTanks:tank_eq_parallel_LC	formal-checked	instance-of:parametron.lc-exchange
rh.foster-inductance-seam	parametron, landmark	∃L∈ℝ, L>0 ∧ L_F(ρ′) = L ⇔ Re ρ′ = 0 ∧ ρ′≠0, with L_F(ρ′) = −2/ρ′², C_F = ½	the Foster inductance of a zero tank is a positive real exactly when the zero sits on the seam	ρ′=ρ−½∈ℂ	L:RH/FosterTanks:inductance_pos_real_iff	formal-checked	instance-of:parametron.lc-exchange, uses:rh.foster-pair-tank
rh.foster-seam-resonance	parametron, landmark	ρ′=iγ ⇒ L_F = 2/γ², and (L_F·C_F)^{−1/2} = (2/γ² · ½)^{−1/2} = γ	a seam tank resonates at the zero's height	γ>0	L:RH/FosterTanks:seam_tank_resonance	formal-checked	instance-of:parametron.lc-exchange, uses:rh.foster-inductance-seam
rh.foster-paired-flux	parametron, landmark, receiver	Σ_{ρ∈Z} m_ρ/(z−ρ) = Σ_{ρ∈Z} m_ρ (z−½)/((z−½)²−(ρ−½)²)	a reflection-closed finite comb reads as a sum of tank impedances	Z finite, 1−ρ∈Z and m(1−ρ)=m(ρ) for ρ∈Z, z∉Z	L:RH/FosterTanks:flux_eq_tankSum	formal-checked	uses:rh.foster-pair-tank
rh.foster-form-finite	parametron, landmark, receiver	‖ξ′/ξ(z) − Σ_{ρ∈Z} m_ρ (z−½)/((z−½)²−(ρ−½)²)‖ ≤ 16(B_r + N_r log 2)/r on |z−½|≤r/8, with N_r ≤ log(M_r/|ξ(½)|)/log(3/2)	FT0: on every centred disc ξ′/ξ is a finite Foster tank sum plus Landau's remainder, with Jensen's count of tanks	r>0; ξ(z)≠0; unconditional	L:RH/FosterTanks:exists_paired_foster_form'; L:RH/FosterTanks:exists_paired_foster_form_fixed	formal-checked	uses:rh.foster-paired-flux, uses:rh.landau-lemma, uses:rh.jensen-counts-comb
rh.foster-class	parametron, landmark	FosterClass f A B σ :⇔ f entire, f(1−s)=f(s), f(½)≠0, ‖f(w)‖ ≤ A·exp(B‖w‖^σ), 0<σ<2	the class of symmetric entire sources of order below two on which every Foster law holds		L:RH/FosterClassLandau:FosterClass	definition	uses:rh.foster-pair-tank
rh.foster-class-finite-form	parametron, landmark, receiver	∃ symmetric factorization Z on B(½,r): count(Z) ≤ log(jensenM/‖f(½)‖)/log(3/2) ∧ ‖f′/f(z) − Σ_Z m_ρ (z−½)/((z−½)²−(ρ−½)²)‖ ≤ landau(f,A,B,σ,r)	FT0 for every member of the Foster class with the class's own constants	FosterClass f A B σ; r>0; |z−½|≤r/8; f(z)≠0	L:RH/FosterClassLandau:exists_paired_foster_form	formal-checked	generalizes:rh.foster-form-finite
rh.foster-count	landmark, receiver	N(R) ≤ K·R·log R (R≥3) for ξ; N_f(R) ≤ K₁ + K₂(½+2R)^σ for a Foster-class f	the zero count of a centred disc grows at most like R log R (order one)	unconditional	L:RH/FosterCount:count_le; L:RH/FosterClassCount:count_le	formal-checked	uses:rh.jensen-counts-comb
