path	claim_and_status	disposition	source_or_superseding_path	verification	reason
research/records/2026-09-03_RT4_THE_FLOWED_XI_AFTER_THE_SHIFT_IS_GAMMA_TIMES_THE_MAIN_SERIES_PLUS_A_REMAINDER_THAT_VANISHES_UNIFORMLY_ON_EVERY_STRIP.md	RT4: the flowed ξ after the shift is γ_t' times the main series plus a remainder that vanishes uniformly on every strip — Truth status: `proved-derived`	keep	research/records/2026-09-03_RT4_THE_FLOWED_XI_AFTER_THE_SHIFT_IS_GAMMA_TIMES_THE_MAIN_SERIES_PLUS_A_REMAINDER_THAT_VANISHES_UNIFORMLY_ON_EVERY_STRIP.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	RT4 proves a strip-uniform flowed-series remainder bound under its stated hypotheses; later RH records do not replace this particular analytic estimate.
research/records/2026-09-03_RT5_THE_MAIN_SERIES_HAS_A_ZERO_BY_THE_HARMONIC_LOGARITHM_AND_ZEROS_AT_EVERY_HEIGHT_BY_BOHR_ALMOST_PERIODS.md	RT5: the main series has a zero by the harmonic logarithm, and zeros at every height by Bohr almost periods — Truth status: `proved-derived`	keep	research/records/2026-09-03_RT5_THE_MAIN_SERIES_HAS_A_ZERO_BY_THE_HARMONIC_LOGARITHM_AND_ZEROS_AT_EVERY_HEIGHT_BY_BOHR_ALMOST_PERIODS.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	RT5 proves entire-series growth, a zero, and Bohr almost-period transfer; this is a separate formal theorem layer from RT4 and RT6.
research/records/2026-09-03_RT6_EVERY_NEGATIVE_TIME_HAS_AN_OFF_SEAM_ZERO_AND_THE_THRESHOLD_IS_NONNEGATIVE_ON_THE_THREE_AXIOMS.md	RT6: every negative time has an off-seam zero, and the threshold is nonnegative on the three axioms — Truth status: `proved-derived`	keep	research/records/2026-09-03_RT6_EVERY_NEGATIVE_TIME_HAS_AN_OFF_SEAM_ZERO_AND_THE_THRESHOLD_IS_NONNEGATIVE_ON_THE_THREE_AXIOMS.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	RT6 combines RT4/RT5 into off-seam zeros for negative heat time and a nonnegative threshold under exactly three axioms; preserve that conditional scope.
research/records/2026-09-03_SKE0_THE_EXCITATION_FOUNDED_QUOTIENT_RETURNED_SIGNATURE_IDENTITY_INTERVENTION_CONES_AND_THE_FAITHFUL_PRODUCTIVE_LANE.md	SKE0: the excitation-founded quotient returned signature identity, intervention cones, and the faithful productive lane — Truth status: `proved-derived`	keep	research/records/2026-09-03_SKE0_THE_EXCITATION_FOUNDED_QUOTIENT_RETURNED_SIGNATURE_IDENTITY_INTERVENTION_CONES_AND_THE_FAITHFUL_PRODUCTIVE_LANE.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	SKE0 defines and proves the excitation-founded receiver-history quotient and faithful productive lane; this is the quotient foundation for later SKE stages.
research/records/2026-09-03_SKE1_THE_RETURN_CROSSED_EVERY_REACTION_OF_THE_CYCLE_AND_DEPOSITED_ON_EVERY_CROSS_SECTION.md	SKE1: the return crossed every reaction of the cycle and deposited on every cross-section — Truth status: `established-bounded`	keep	research/records/2026-09-03_SKE1_THE_RETURN_CROSSED_EVERY_REACTION_OF_THE_CYCLE_AND_DEPOSITED_ON_EVERY_CROSS_SECTION.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	SKE1 records measured reverse traversal through every reaction and cross-section deposit. Keep the bounded implemented return and its card measurements.
research/records/2026-09-03_SKE3_THE_SIGNATURE_QUOTIENT_IDENTIFIED_TWO_VARIANTS_UNDER_THE_EMPTY_HISTORY_AND_A_DECLARED_HISTORY_REOPENED_THEM.md	SKE3: the signature quotient identified two variants under the empty history, and a declared history reopened them — Truth status: `established-bounded`	keep	research/records/2026-09-03_SKE3_THE_SIGNATURE_QUOTIENT_IDENTIFIED_TWO_VARIANTS_UNDER_THE_EMPTY_HISTORY_AND_A_DECLARED_HISTORY_REOPENED_THEM.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	SKE3 retains exposure-specific receipts and the counterexample where declared history reopens an empty-history equivalence class; distinct identification result.
research/records/2026-09-03_SKE_AUDIT_receipts/canon_records_and_rulings_audit.md	canon_records_and_rulings_audit — Truth status: claim grades: definition	keep	research/records/2026-09-03_SKE_AUDIT_receipts/canon_records_and_rulings_audit.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	Primary SKE audit explicitly integrates this testimony, but its correction to H-index routing and stale H.0479 citation is independently useful audit evidence.
research/records/2026-09-03_SKE_AUDIT_receipts/lean_owners_audit.md	lean_owners_audit — Truth status: claim grades: counterexample	keep	research/records/2026-09-03_SKE_AUDIT_receipts/lean_owners_audit.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	Primary SKE audit cites this source inspection and explicitly distinguishes hand reasoning from kernel-checked Lean; preserve the non-verification caveat.
research/records/2026-09-03_SKE_AUDIT_receipts/lineage_a_dependents_audit.md	lineage_a_dependents_audit — Truth status: claim grades: counterexample; historical	keep	research/records/2026-09-03_SKE_AUDIT_receipts/lineage_a_dependents_audit.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	Primary SKE audit integrates this lineage/dependent analysis; it records SKE4 departures and dependent source status with source-specific evidence.
research/records/2026-09-03_SKE_AUDIT_receipts/resident_session_against_the_2026-08-18_contract_audit.md	resident_session_against_the_2026-08-18_contract_audit — Truth status: claim grades: 	keep	research/records/2026-09-03_SKE_AUDIT_receipts/resident_session_against_the_2026-08-18_contract_audit.md	Inspected record claims, explicit truth/evidence grades and named current owner or receipt; searched governing guide/current research routes for an exact owning duplicate. No full historical experiment replay.	Primary SKE audit incorporates the 2026-08-18 resident-session contract verdict and authorship correction; preserve as provenance and bounded process evidence.
