path	claim_and_status	disposition	source_or_superseding_path	verification	reason
research/records/2026-07-10_ALIGN-R0.md	corrected research reading; initial co-precession cancellation claim failed under later regrade; no engine result	keep	research/records/2026-07-10_ALIGN-R0.md (sole account); compare docs/ELEMENTARY_OBJECTS.md interaction and receiver contracts	Inspected record result/status and any in-record regrade; searched the named current owner/newer records for a same-scope result. Raw historical run was not replayed.	Read full regrade/addenda: failed between-form cancellation is explicitly corrected; remaining signed-relative-rotor recognition is not repeated in current guides. Preserve scoped record, do not promote failed clause.
research/records/2026-07-10_CUT-R0.md	proved local theorem: dilation on L²(dx) is unitary iff Re β=1/2; RH-sized arithmetic excitation remains open	fold	research/records/2026-07-23_THE_HALF_JACOBIAN_CARRIES_THE_CHART_THE_POSITIVE_INTERIOR_HAS_SIGNED_BOUNDARIES.md; research/papers/source/mathematics/lemmas/mellin-half-density-chart.typ	Inspected record result/status and correction; checked the named destination for the same law/result. Fold proposal only; no source file changed.	Later Mellin half-density derivation gives same normalization and its proper scope. Fold early proof/status as one provenance line into later result; do not infer RH.
research/records/2026-07-10_FIBER-R0.md	declared factor gates; later regrade says factors checked but general neutral action and preferred-arm claim failed	keep	research/records/2026-07-10_FIBER-R0.md (sole exact fixture/regrade account); compare docs/RETRACTIONS.md	Inspected record result/status and any in-record regrade; searched the named current owner/newer records for a same-scope result. Raw historical run was not replayed.	Full same-night regrade separates proved coefficient conjugacy/zero imaginary coefficient from failed action claims; no later record found for exact counterexamples.
research/records/2026-07-10_THE_ONE_MOUTH_SEAM.md	presented one-mouth relocation design; staged implementation/ratification status is not demonstrated in this document	unresolved	docs/plans/THE_REPOSITORY_RESTRUCTURE.md §0–4 (current architecture); legacy kernel/body sources named by record	Inspected record result/status and searched named current comparators; unresolved because evidence/provenance or claim-level scope is incomplete. No source file changed.	Design references historical owners and a byte-identity gate; cannot establish which stages landed or which evidence survived from this record alone. Requires commit/artifact provenance before fold.
research/records/2026-07-10_THE_SCOPE_OUT.md	unratified scope-out: analogies/hunches plus multiple same-day corrections; no single delivered theorem or experiment	fold	docs/RETRACTIONS.md; docs/HOLON.md; docs/WINDING_CARRY_AND_PLACEMENT.md	Inspected record result/status and correction; checked the named destination for the same law/result. Fold proposal only; no source file changed.	Read all addenda: several claims are explicitly struck/regraded; retain only the corrected surviving distinctions in their guides and one-line failed-hypothesis history, not the speculative catalogue.
research/records/2026-07-11_A1_DRIVEN_CONTINUATION.md	ratified A1 clarification: current draws on standing whole-body material; distinguishes worldline order from mobilization and rejects reuptake stage	fold	docs/HOLON.md#situated-generator-inference-dormant-modes-and-action; docs/HNN_FORMULA.md	Inspected record result/status and correction; checked the named destination for the same law/result. Fold proposal only; no source file changed.	Current generator/action and retention contracts state these distinctions; September 21 situated-generator synthesis is newer. No distinct experiment or mechanism is reported.
research/records/2026-07-11_THE_CALCULUS_IN_CIRCULATION.md	circulation review of relational calculus/game/navigation; walk harness is a presented design, not built	fold	research/records/2026-09-21_SITUATED_GENERATORS_RETAIN_MODES_AND_RELEASE_ACTION.md; docs/HOLON.md	Inspected record result/status and correction; checked the named destination for the same law/result. Fold proposal only; no source file changed.	Later source synthesis owns situated navigation and action. This record reports no new run; fold historical quote and design residue into that source route if retained.
research/records/2026-07-11_THE_COMPACT_REGIONAL_FORM.md	measured compact regional form and CUDA/host gates at declared bounded grains; higher-gain/production claims remain open	keep	research/records/2026-07-11_THE_COMPACT_REGIONAL_FORM.md (unique measurement report); compare docs/plans/THE_REPOSITORY_RESTRUCTURE.md Rust census	Inspected record result/status and any in-record regrade; searched the named current owner/newer records for a same-scope result. Raw historical run was not replayed.	Exact representation measurements and limitations are not duplicated by current Rust consolidation plan. Keep as historical measured result; implementation retirement does not erase the observation.
research/records/2026-07-11_THE_MOBILIZATION.md	heat/hexis and biological mobilization presented; active biological label and §4 construction explicitly superseded by A1 clarification	fold	research/records/2026-07-11_A1_DRIVEN_CONTINUATION.md; docs/RETRACTIONS.md	Inspected record result/status and correction; checked the named destination for the same law/result. Fold proposal only; no source file changed.	Record itself marks active supersession. Fold the durable A1 correction into its ratified owner and the withdrawn biological mechanism to retraction history.
research/records/2026-07-11_THE_PROTECTED_CENTER.md	presented protected-center candidate and physics correspondences; ratification and derivation status unclear	unresolved	docs/HOLON.md; docs/MASS_ENERGY_AND_CAUSAL_TRANSPORT.md	Inspected record result/status and searched named current comparators; unresolved because evidence/provenance or claim-level scope is incomplete. No source file changed.	Contains several distinct claims/hunches about center, divergence, gauge and physical analogies; no single later owner found that safely preserves all valid parts. Requires claim-level disposition.
research/records/2026-07-11_THE_TRANSACTIONAL_SEAM.md	transactional interaction reading corrected same day: mutual participation survives; equal/opposite instantaneous magnitude and gear law are open/struck	fold	docs/ELEMENTARY_OBJECTS.md#the-holon-as-one-object; docs/HOLON.md; docs/RETRACTIONS.md	Inspected record result/status and correction; checked the named destination for the same law/result. Fold proposal only; no source file changed.	Read §§6–7 corrections: no new mechanism; current Holon/receiver contract owns mutual interaction, while the rejected equal-magnitude/gear claims belong in retraction summary.
research/records/2026-07-12_IDENTITY_EQUIVALENCE_AND_THE_ACTION_CURRENT_ORGAN.md	ratified correction: identity/equivalence is receiver-relative; numeric cancellation can collapse distinct constructions; π and stellar claims separately graded	keep	research/records/2026-07-12_IDENTITY_EQUIVALENCE_AND_THE_ACTION_CURRENT_ORGAN.md; compare docs/ELEMENTARY_OBJECTS.md and docs/HOLON.md	Inspected record result/status and any in-record regrade; searched the named current owner/newer records for a same-scope result. Raw historical run was not replayed.	The record preserves the corrected claim and distinct grade table; current guides cover receiver-relative identity generally but not its full correction/provenance packet.
