path	tracked_files	DOCS_R0_inbound_sources	inbound_paths	disposition	evidence_and_required_action
archive/README.md	1	1	1	fold-to-guide-or-git	Its one inbound citation is the archive landing description; archive history remains reachable by Git revision.
archive/cpp-engine	1652	6	6	keep-until-extracted	DOCS_R0.tsv has six positively linked paths: CONSTRUCTION_STATE.md and five observation receipts (code-grammar-world-01, cuda-continuation-01, eros-transformer-seeded-regional-ecology-01, holonic-exact-receiver-engine-01, transport-foil-world-01). The July 16 current-contact-world-01 record also cites its receipt, though that relative reference is not counted as inbound by DOCS_R0.tsv. These are distinct bounded historical evidence and current guides do not duplicate the measured results. Retain each cited receipt until its result is summarized with immutable revision/path and citations are rewritten. Also inspect uncited source/formal/standing laws individually; zero links is not a deletion proof.
archive/equation-atlas	5	3	2	keep-until-extracted	Three inbound sources across two paths; inspect each cited equation/fixture and move any unique statement to its guide or preserve its source revision before deletion.
archive/experiments	10	5	1	keep-until-extracted	Five inbound sources at one path; linked experiment artifacts are evidence, not disposable based only on archive location.
archive/implementations	25	14	7	keep-until-extracted	Fourteen inbound sources across seven paths; recover unique fixtures/measurements before retiring archived implementations.
archive/laboratory-physics	20	1	1	keep-until-extracted	One live citation; determine whether it records a unique physical result or only historical provenance, then preserve the result or immutable source coordinate.
archive/operations	7	9	6	keep-until-extracted	Nine inbound sources across six paths; inspect operational contracts and any evidence/receipts individually.
archive/plans	73	208	45	fold-to-guide-or-git	High citation density is historical. For each cited plan, move only still-live definitions/decisions into the governing guide/plan and replace historical attribution with an immutable revision; do not preserve a second scheduler.
archive/reference	345	26	13	keep-until-extracted	Twenty-six inbound sources across thirteen paths; pinned snapshots and seed/reference fixtures may be sole reproductions. Preserve exact revision coordinates and identify any live law/fixture before removal.
archive/retired-phoenix-rust	101	5	5	keep-until-extracted	Five inbound citations; confirm the citations state provenance only and preserve required receipt/source coordinates before retiring from tree.
archive/tooling	21	2	2	fold-to-guide-or-git	Two inbound citations; tooling is superseded, but cited historical command/measurement context needs an immutable revision replacement.

# Candidate review: first substantial subtree, archive/cpp-engine (1,652 tracked files).
# DOCS_R0.tsv reports six cited archive paths (six source links); the paths and why they cannot yet be dropped:
# archive/cpp-engine/CONSTRUCTION_STATE.md — docs/AGENT_PROTOCOL.md; historical C++ position/provenance.
# archive/cpp-engine/evidence/observations/code-grammar-world-01/RESULTS.md — docs/canon/THE_TIMELINE.md; measured observation.
# archive/cpp-engine/evidence/observations/cuda-continuation-01/README.md — docs/canon/06_ESTABLISHED_CAPABILITIES.md; CUDA continuation evidence, also cited by the July record.
# archive/cpp-engine/evidence/observations/holonic-exact-receiver-engine-01/RESULTS.md — docs/canon/06_ESTABLISHED_CAPABILITIES.md; accepted exact receiver receipt.
# archive/cpp-engine/evidence/observations/transport-foil-world-01/RESULTS.md — docs/canon/THE_RECOVERED_LAW.md and July 16 record; measured equal-scalar/different-oriented-residual consequence.
# The July 16 record also cites archive/cpp-engine/evidence/observations/current-contact-world-01/RESULTS.md, but DOCS_R0.tsv records zero inbound sources for this row; preserve the citation as an explicit census limitation.
# The eros-transformer-seeded-regional-ecology-01 receipt is linked in DOCS_R0.tsv and is explicitly cited by crates/holonic-life/examples/the_map_deposits_and_a_later_current_rides_it.rs; include it in extraction before removing the containing subtree.
# The retained experiment reports are not recreated by current native/Lean owners, so keep-until-extracted applies. Do not delete archive/cpp-engine wholesale in R0.

# Concrete first reviewable cut: retire archive/cpp-engine/cmake/ as a standalone obsolete build harness (77 tracked files, 6,167 lines) after replacing the live source-coordinate citation to HolonicDeposit.cmake in crates/holonic-life/driver-sources/eros-morphological-language-generation-01/SOURCE.json.
# Evidence: the C++ body was archived in 06518c34a18b2e492957a6c5c1395d86f150ab25; archive/cpp-engine/CMakeLists.txt includes the scripts only for its frozen CMake build; no current build consumes them. DOCS_R0.tsv's exact inbound-path count is zero for these files, but SOURCE.json contains a textual line citation not counted as an inbound link.
# Required replacement: preserve the historical closure-hash/deposit and 126-refused-generated-artifact facts in SOURCE.json, replacing archive/cpp-engine/cmake/HolonicDeposit.cmake:12-19 with the immutable coordinate 06518c34a18b2e492957a6c5c1395d86f150ab25:archive/cpp-engine/cmake/HolonicDeposit.cmake. No live mathematical law or unique measured receipt is established by the CMake harness itself; the unique deposit mechanism has a prose description in SOURCE.json and its archived standing manifest. This is a retire-candidate pending that citation edit, not blanket deletion authority for archive/cpp-engine/src, formal, standing, evidence or tests.
