path	claim_and_status	disposition	source_or_superseding_path	verification	reason
research/records/2026-09-01_A_TAIL_MODE_IS_FED_ONLY_IN_PROPORTION_TO_THE_TAIL_AND_THE_BAND_COEFFICIENT_IS_A_FACE_COUNT_TIMES_THE_INITIAL_ENERGY.md	A tail mode is fed only in proportion to the tail, and the band coefficient is a face count times the initial energy — **Truth status:** `proved-derived`	keep	research/records/2026-09-01_A_TAIL_MODE_IS_FED_ONLY_IN_PROPORTION_TO_THE_TAIL_AND_THE_BAND_COEFFICIENT_IS_A_FACE_COUNT_TIMES_THE_INITIAL_ENERGY.md; compare the formal owner named in the record and the source-specific theorem scope	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	Unique checked shell-step estimate: every tail mode is paid by its own dissipative tail, with initial-energy face count explicit.
research/records/2026-09-01_HIF7_QUALITATIVE_PROBE_WAS_WRONGLY_PROMOTED_AND_THE_FRAMEWORK_RELEASES_ON_EXACT_CONTRACTS.md	HIF7's qualitative probe was wrongly promoted and the framework releases on exact contracts — 	keep	research/records/2026-09-01_HIF7_QUALITATIVE_PROBE_WAS_WRONGLY_PROMOTED_AND_THE_FRAMEWORK_RELEASES_ON_EXACT_CONTRACTS.md; compare CONSTRUCTION_STATE.md and exact adjacent stage/correction records	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	This regrades HIF7’s earlier qualitative probe and defines its exact-contract release boundary; no later record duplicates the regrade.
research/records/2026-09-01_HIF7_RETURNED_EXACT_RESIDENT_RADIATION_AND_PATH_STATE_BUT_QUALITATIVE_INFERENCE_REMAINS_AN_UNCULTIVATED_CROSS_OCCURRENCE.md	HIF7 returned exact resident radiation and path state, but qualitative inference remains an uncultivated cross-occurrence — ## Grade	keep	research/records/2026-09-01_HIF7_RETURNED_EXACT_RESIDENT_RADIATION_AND_PATH_STATE_BUT_QUALITATIVE_INFERENCE_REMAINS_AN_UNCULTIVATED_CROSS_OCCURRENCE.md; compare CONSTRUCTION_STATE.md and exact adjacent stage/correction records	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	Distinct HIF7 resident radiation/path-state return, with the non-result that qualitative cross-occurrence inference is still uncultivated.
research/records/2026-09-01_MVF0_FAITHFUL_LOCAL_LIFT_CAUSAL_CONE_VARIANT_PACKAGE_EXPORT_AND_CONFIGURATION_LAWS_RETURNED.md	MVF0 faithful local lift, causal cone, variant package, export, and configuration laws returned — **Phase:** MVF0 **Truth status:** proved-derived; formal-checked; measured	keep	research/records/2026-09-01_MVF0_FAITHFUL_LOCAL_LIFT_CAUSAL_CONE_VARIANT_PACKAGE_EXPORT_AND_CONFIGURATION_LAWS_RETURNED.md; compare CONSTRUCTION_STATE.md and exact adjacent stage/correction records	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	MVF0’s faithful local lift, causal-cone, export and configuration theorem/test bundle is a distinct phase result.
research/records/2026-09-01_MVF1_COMPLETE_FACTORIZED_GEMMA_SECTIONS_REPLACED_THE_ALTERNATING_SUM_IDENTITY.md	MVF1 complete factorized Gemma sections replaced the alternating-sum identity — **Phase:** MVF1 **Truth status:** established-bounded; implemented-exact; source-inspected; measured	keep	research/records/2026-09-01_MVF1_COMPLETE_FACTORIZED_GEMMA_SECTIONS_REPLACED_THE_ALTERNATING_SUM_IDENTITY.md; compare CONSTRUCTION_STATE.md and exact adjacent stage/correction records	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	MVF1 complete factorized-section correction is a distinct receiver result, not the later SCF scaffold replacement.
research/records/2026-09-01_MVF2_GENERIC_AND_GEMMA_CHARTS_ENTERED_ONE_SOULKILLER_DISMANTLING_BOUNDARY.md	MVF2 generic and Gemma charts entered one Soulkiller dismantling boundary — **Phase:** MVF2 **Truth status:** established-bounded; implemented-exact; source-inspected; measured	keep	research/records/2026-09-01_MVF2_GENERIC_AND_GEMMA_CHARTS_ENTERED_ONE_SOULKILLER_DISMANTLING_BOUNDARY.md; compare CONSTRUCTION_STATE.md and exact adjacent stage/correction records	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	MVF2’s generic/Gemma chart entry into the Soulkiller dismantling boundary is a separate transport result.
research/records/2026-09-01_MVF3_RETURNED_LOCAL_INTERACTION_CULTIVATED_ONLY_ITS_CAUSAL_CONE.md	MVF3 returned local interaction cultivated only its causal cone — **Phase:** MVF3 **Truth status:** established-bounded; implemented-exact; measured	keep	research/records/2026-09-01_MVF3_RETURNED_LOCAL_INTERACTION_CULTIVATED_ONLY_ITS_CAUSAL_CONE.md; compare CONSTRUCTION_STATE.md and exact adjacent stage/correction records	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	MVF3 returns the local interaction and cultivates only its causal cone; this is its own phase boundary.
research/records/2026-09-01_MVF4_DERIVED_VARIANT_ANATOMY_AND_BACKEND_INDEPENDENT_MORPHOLOGY_PACKAGE_RETURNED.md	MVF4 derived variant anatomy and backend-independent morphology package returned — **Phase:** MVF4 **Truth status:** established-bounded; implemented-exact; measured	keep	research/records/2026-09-01_MVF4_DERIVED_VARIANT_ANATOMY_AND_BACKEND_INDEPENDENT_MORPHOLOGY_PACKAGE_RETURNED.md; compare CONSTRUCTION_STATE.md and exact adjacent stage/correction records	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	MVF4’s variant anatomy/backend-independent package return is distinct from foreign-format intake and later deployment.
research/records/2026-09-01_MVF5_EXACT_AND_PROJECTED_SAFETENSORS_ONNX_EXPORT_LENSES_RETURNED.md	MVF5 exact and projected Safetensors/ONNX export lenses returned — **Phase:** MVF5 **Truth status:** established-bounded; implemented-exact; source-inspected; measured	keep	research/records/2026-09-01_MVF5_EXACT_AND_PROJECTED_SAFETENSORS_ONNX_EXPORT_LENSES_RETURNED.md; compare CONSTRUCTION_STATE.md and exact adjacent stage/correction records	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	MVF5 owns exact/projected Safetensors and ONNX exports plus controls; HIF2 handles intake/chart parsing, not the same export result.
research/records/2026-09-01_MVF6_MATCHED_MULTIMODAL_CONFIGURATIONS_REMAINED_TEN_SEPARATED_RECEIVER_HISTORY_PAIRS.md	MVF6 matched multimodal configurations remained ten separated receiver-history pairs — **Phase:** MVF6 experiment return **Truth status:** established-bounded; implemented-exact; source-inspected; measured	keep	research/records/2026-09-01_MVF6_MATCHED_MULTIMODAL_CONFIGURATIONS_REMAINED_TEN_SEPARATED_RECEIVER_HISTORY_PAIRS.md; compare CONSTRUCTION_STATE.md and exact adjacent stage/correction records	Inspected result/status and in-record regrades; compared the named source/current owner. Historical artifacts or runs were not replayed.	MVF6 measures ten separated multimodal receiver/history pairs; it prevents collapsing matched configurations into one output.
