path	claim_and_status	disposition	source_or_superseding_path	verification	reason
research/records/2026-08-21_THE_RANK_RECORDS_ARE_A_LATTICE_BUDGET_AND_THE_CEILING_IS_A_DIAL_WITH_ITS_VALUE_EXHIBITED.md	The rank records are a lattice budget, and the ceiling is a dial with its value exhibited. **Kind:** the rank-N investigation's first return — planned in the descent record at Brandon's	keep	research/records/2026-08-21_THE_RANK_RECORDS_ARE_A_LATTICE_BUDGET_AND_THE_CEILING_IS_A_DIAL_WITH_ITS_VALUE_EXHIBITED.md; compare formal/elementary-holonics/ElementaryHolonics/Millennium/ and the August 23 Lean-burst audit	Inspected result/status and internal correction; compared the named current/newer owner. Historical source/Lean/device artifacts were not rerun.	Unique scoped result, checked theorem, falsifier, release transition, or source audit. Preserve its stated hypotheses/open boundary; later guides do not reproduce this exact evidence.
research/records/2026-08-21_THE_SELF_STRESS_IS_A_SUPPORTED_REALIZER_AND_THE_FLEX_SPACE_IS_A_THIRD_SELECTOR.md	The self-stress is a supported realizer, and the flex space is a third selector. **Kind:** derivation deposit — the rigidity join Brandon's protein-structure notes were pointing	keep	research/records/2026-08-21_THE_SELF_STRESS_IS_A_SUPPORTED_REALIZER_AND_THE_FLEX_SPACE_IS_A_THIRD_SELECTOR.md; compare docs/plans/THE_REPOSITORY_RESTRUCTURE.md §3.5–3.6 and docs/HOLONIC_FLUID_CONSTRUCTION.md	Inspected result/status and internal correction; compared the named current/newer owner. Historical source/Lean/device artifacts were not rerun.	Unique scoped result, checked theorem, falsifier, release transition, or source audit. Preserve its stated hypotheses/open boundary; later guides do not reproduce this exact evidence.
research/records/2026-08-21_THE_SOURCE_CIRCULATED_THE_DIAGRAM_REFUSED_THE_WHITE_BACKGROUND_AND_M0_RETURNED_ITS_DISAGREEMENT_FIBRE.md	The source circulated, the diagram refused the white background, and M0 returned its disagreement fibre. **Kind:** authoritative construction return and Deed M0 grade.	keep	research/records/2026-08-21_THE_SOURCE_CIRCULATED_THE_DIAGRAM_REFUSED_THE_WHITE_BACKGROUND_AND_M0_RETURNED_ITS_DISAGREEMENT_FIBRE.md; compare docs/ELEMENTARY_OBJECTS.md and the named formal/application owner in the record	Inspected result/status and internal correction; compared the named current/newer owner. Historical source/Lean/device artifacts were not rerun.	Unique scoped result, checked theorem, falsifier, release transition, or source audit. Preserve its stated hypotheses/open boundary; later guides do not reproduce this exact evidence.
research/records/2026-08-21_THE_UNIT_IS_A_DECLARED_WINDING_THE_CERTIFICATE_IS_A_REALIZER_AND_THE_RADIX_IS_RESONANT.md	The unit is a declared winding, the certificate is a realizer, and the radix is resonant. **Kind:** framing deposit — Brandon's clock/units exposition, his critique of the official	keep	research/records/2026-08-21_THE_UNIT_IS_A_DECLARED_WINDING_THE_CERTIFICATE_IS_A_REALIZER_AND_THE_RADIX_IS_RESONANT.md; compare docs/ELEMENTARY_OBJECTS.md and the named formal/application owner in the record	Inspected result/status and internal correction; compared the named current/newer owner. Historical source/Lean/device artifacts were not rerun.	Unique scoped result, checked theorem, falsifier, release transition, or source audit. Preserve its stated hypotheses/open boundary; later guides do not reproduce this exact evidence.
research/records/2026-08-21_THE_ZETA_FIVE_SERIES_IS_DEPOSITED_ITS_TAIL_IS_MODELLED_AND_THE_ODD_ZETA_LINE_IS_A_REALIZER_SUPPLY_QUESTION.md	The zeta-five series is deposited, its tail is modelled, and the odd-zeta line is a realizer-supply question. **Kind:** deposit of a formula supplied by Brandon as an image only, with exact numerical identity's proof status and every strategy item.	keep	research/records/2026-08-21_THE_ZETA_FIVE_SERIES_IS_DEPOSITED_ITS_TAIL_IS_MODELLED_AND_THE_ODD_ZETA_LINE_IS_A_REALIZER_SUPPLY_QUESTION.md; compare formal/elementary-holonics/ElementaryHolonics/Millennium/ and the August 23 Lean-burst audit	Inspected result/status and internal correction; compared the named current/newer owner. Historical source/Lean/device artifacts were not rerun.	Unique scoped result, checked theorem, falsifier, release transition, or source audit. Preserve its stated hypotheses/open boundary; later guides do not reproduce this exact evidence.
research/records/2026-08-22_A3_RELEASE_RECEIVER_PASSED_THE_CONTINUATION_RESTED_AND_HOLONIC_INFERENCE_BEGINS.md	A3 release receiver passed, the continuation rested, and Holonic Inference begins. **Truth status:** [established-bounded; implemented-exact; measured] **Scope:** release admission of the already-returned A3 Athena-Gemma continuation; this record does	keep	research/records/2026-08-22_A3_RELEASE_RECEIVER_PASSED_THE_CONTINUATION_RESTED_AND_HOLONIC_INFERENCE_BEGINS.md; compare adjacent Athena release/candidate records and current CONSTRUCTION_STATE.md	Inspected result/status and internal correction; compared the named current/newer owner. Historical source/Lean/device artifacts were not rerun.	Unique scoped result, checked theorem, falsifier, release transition, or source audit. Preserve its stated hypotheses/open boundary; later guides do not reproduce this exact evidence.
research/records/2026-08-22_ATHENA_GEMMA_NOW_RETURNS_THE_COMPLETE_INFERENCE_LIFECYCLE_AND_PRODUCTION_SCALE_IS_THE_WIDENING_OF_ITS_RECEIVER_APERTURE.md	Athena-Gemma now returns the complete inference lifecycle, and production scale is the widening of its receiver aperture. **Truth status:** `interpretation`	keep	research/records/2026-08-22_ATHENA_GEMMA_NOW_RETURNS_THE_COMPLETE_INFERENCE_LIFECYCLE_AND_PRODUCTION_SCALE_IS_THE_WIDENING_OF_ITS_RECEIVER_APERTURE.md; compare adjacent Athena release/candidate records and current CONSTRUCTION_STATE.md	Inspected result/status and internal correction; compared the named current/newer owner. Historical source/Lean/device artifacts were not rerun.	Unique scoped result, checked theorem, falsifier, release transition, or source audit. Preserve its stated hypotheses/open boundary; later guides do not reproduce this exact evidence.
research/records/2026-08-22_GENERAL_HALVING_OPENED_THE_RECONSTRUCTION_FIBRE_AND_FOUR_JOINED_FRONTS_NOW_SQUEEZE_THE_MILLENNIUM_BOUNDARY.md	General halving opened the reconstruction fibre and four joined fronts now squeeze the Millennium boundary. **Purpose:** Claude-readable dependency map for Brandon's parallel Lean research campaign **Authority boundary:** `[definition]` This record schedules a user-directed Lean research track.	fold	docs/plans/THE_REPOSITORY_RESTRUCTURE.md §0.10/§4 R3, K3–K4; docs/plans/census/LEAN_R0.tsv; docs/plans/THE_ROADMAP.md	Checked authority boundary and current R3/campaign plan; the dependency schedule is superseded. Confirmed the underlying GeneralHalving Lean source remains present, so this folds the plan only, not its proved theorem.	Transfer still-open source/gate rows into R0 Lean census/current K3-K4 plan; retain the checked GeneralHalving statement and every other formal result in its actual Lean owner. Retire only the outdated parallel schedule.
research/records/2026-08-22_HOLONIC_INFERENCE_RECOMBINES_EXTRAPOLATES_RETURNS_AND_REINCARNATES_AND_HETEROGENEOUS_TRANSPORT_IS_THE_FUSION_TARGET.md	Holonic inference recombines, extrapolates, returns, and reincarnates; heterogeneous transport is the fusion target. **Truth status:** `definition` MODEL / SAME-PURPOSE LLM RECOMBINATION UNSCHEDULED / SOURCE UNCHANGED / NO RUN	fold	docs/HOLON.md; docs/HNN_FORMULA.md; docs/ELEMENTARY_OBJECTS.md	Read the record’s authority/status and compared it with the current destination; no unique completed experiment/theorem is being moved by this fold. Transfer indicated content before deletion.	The record explicitly defines Holonic Inference as a circulation of existing owners rather than a separate module. Current Holon/HNN contracts now state that same object and operations; its new fusion programme had not run. Fold the reusable definition into the current operators.
research/records/2026-08-22_I0_RELEASE_RECEIVER_PASSED_THE_REALIZATION_CALCULUS_CLOSED_AND_I1_BEGINS.md	I0 release receiver passed, the realization calculus closed, and I1 begins. **Truth status:** [established-bounded; implemented-exact; proved-derived; measured] **Roadmap deed:** I0, physical-realization / functional-affect calculus **Release position:** passed; I1 is the live construction frontier	keep	research/records/2026-08-22_I0_RELEASE_RECEIVER_PASSED_THE_REALIZATION_CALCULUS_CLOSED_AND_I1_BEGINS.md; compare adjacent Athena release/candidate records and current CONSTRUCTION_STATE.md	Inspected result/status and internal correction; compared the named current/newer owner. Historical source/Lean/device artifacts were not rerun.	Distinct release-admission transition with its own candidate, artifact and next-front boundary; preserve the chronology and bounded scope.
