complex.connection-incidence	complex	(d_A φ)_e = g_e φ(t e) − φ(s e);  Σ_walk d_A φ = T_walk φ(b) − φ(a)	the connection-valued incidence; its covariant difference telescopes along any walk	edge transports g_e ∈ 𝕜ˣ	L:Holon/Complex:connectionIncidence; L:Holon/Complex:walkRead_connection; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	
complex.da-squared-curvature	complex	(d_A² φ)_cell = (hol_cell − 1) φ(base);  triangle: (dA1 dA0 φ)₀ = (g₀₁g₁₂g₂₀ − 1)φ₀	d_A² = F_A: the square of the covariant incidence is the curvature (holonomy minus one) read at the base	cell given as a closed walk	L:Holon/Complex:dA_squared; L:Holon/Complex:cell_curvature; R:holonics::geometry::complex::ConnectionIncidence	formal-checked	uses:holonomy.cell-face
complex.exact-closed-iff-flat	complex	(∀φ d_A²φ = 0) ⇔ hol = 1;  pure gauge g_ij = k_i k_j⁻¹ ⇒ flat	every exact effort is covariantly closed exactly when the holonomy is trivial	triangle	L:Holon/Complex:exact_closed_iff_flat; L:Holon/Complex:pure_gauge_is_flat	formal-checked	uses:complex.da-squared-curvature
complex.connection-is-dirac	complex, holon	kirchhoff(d_A) is Dirac for every connection g	power neutrality of the Kirchhoff structure uses only the adjoint pair d_A, d_Aᵀ, not flatness	any graph with edge transports	L:Holon/Complex:connection_isDirac; L:Holon/Complex:connectionIncidence_isDirac	formal-checked	uses:holon.kirchhoff-dirac
complex.curved-witnesses	complex	triangle g₀₁ = 2: hol 2, Dirac intact, d_A²δ₀ = 1;  two-edge seam transports (1, −1): hol −1, reads −2	curvature and Dirac structure are independent: a curved or orientation-reversing connection keeps power neutrality	witnesses over ℚ	L:Holon/Complex:curved_witness; L:Holon/Complex:seam_curvature_witness	counterexample	instance-of:complex.da-squared-curvature
complex.graded-boundary-squared	complex	∂[a,b,c] = [b,c] − [a,c] + [a,b], ∂[u,v] = [v] − [u] ⇒ ∂∂ = 0 on chains	an apertured graded complex satisfies the boundary law unconditionally; a resolution decides which cells stand, never their algebra	ℤ coefficients, finite support	L:Foundation/AperturedGradedComplex:d_comp_d; L:Foundation/AperturedGradedComplex:constraint_boundary_squared; L:Foundation/AperturedGradedComplex:GradedComplex	formal-checked	
complex.boundary-squared	complex, holon	∂∘∂ = 0 (∂₁∂₂ = 0 on the cellular chain complex)	the complex: oriented cells whose boundary of a boundary vanishes; every Stokes, gauge and class statement rests on it	any chain complex	L:Foundation/AperturedGradedComplex:d_comp_d; L:Objects/Pairing:classPairing_representatives; L:Objects/RelativeCompleteness:square_boundary_squared; D:docs/ELEMENTARY_OBJECTS.md#0-complex	definition	
complex.aperture-trichotomy	complex, contact, receipt	exact interval vs aperture ↦ inside | outside | openContact; a point interval is never openContact; decided admission is resolution-free, openContact is plural	an undecided contact is kept as a family of complexes, never quietly decided; its open class comes from genuine width	exact intervals	L:Foundation/AperturedGradedComplex:classify; L:Foundation/AperturedGradedComplex:classify_point_ne_openContact; L:Foundation/AperturedGradedComplex:decided_admission_is_resolution_free; L:Foundation/AperturedGradedComplex:openContact_is_plural	formal-checked	
complex.within-component-pairs	complex, contact	|withinComponentPairs| = Σ_c C(n_c, 2);  within and cross families disjoint; within pairs not covalent	the within-component contact family counts choose-two pairs per component and is disjoint from the cross family and the covalent chain	finite components	L:Foundation/AperturedGradedComplex:withinComponentPairs_card; L:Foundation/AperturedGradedComplex:withinPairs_disjoint_crossPairs; L:Foundation/AperturedGradedComplex:withinComponentPairs_not_covalent	formal-checked	
complex.contact-closes-cycle	complex, contact, cycle	backbone path + one contact edge = nonzero cycle; segment cycles are multiples of it; a covalent segment alone has zero cycle	one contact on a covalent chain closes exactly one independent cycle	covalent chain with a contact	L:Foundation/AperturedGradedComplex:backboneContactCycle_is_cycle; L:Foundation/AperturedGradedComplex:backboneContactCycle_ne_zero; L:Foundation/AperturedGradedComplex:segment_cycles_are_multiples; L:Foundation/AperturedGradedComplex:segment_cycle_is_zero	formal-checked	
complex.visible-cycle-not-boundary	complex, coholon, receiver	ρ ∘ ∂ = 0 ∧ ρ(z) ≠ 0 ⇒ z ∉ range ∂;  the zero receiver never establishes visibility	a receiver annihilating every boundary but reading a cycle nonzero separates that cycle from the boundary image	additive groups	L:Foundation/BoundaryReceiver:not_mem_range_of_receiver_ne_zero; L:Foundation/BoundaryReceiver:not_mem_range_of_receiver_boundary_eq_zero; L:Foundation/BoundaryReceiver:zero_receiver_not_visible	formal-checked	uses:holon.nonzero-pairing-certifies
