winding.linking-number	cycle, receipt	sign(c) = sgn det[t_over, t_under, w];  lk(a,b) = lk(b,a);  lkOver + lkUnder = lkTotal;  direction w ↦ −w or c·w (c>0) moves no sign;  HalvesAgree ⇒ lk = lkOver ∈ ℤ, lkTotal even	the linking number from an embedding and a declared projection is symmetric and projection-side independent	exact rational embedding; HalvesAgree (Seifert) carried as a Prop	L:Foundation/TopologicalReceiver:linkingTotal_comm; L:Foundation/TopologicalReceiver:linkingOver_add_linkingUnder; L:Foundation/TopologicalReceiver:linkingTotal_neg_direction; L:Foundation/TopologicalReceiver:linkingTotal_smul_direction; L:Foundation/TopologicalReceiver:linking_is_an_integer; L:Foundation/TopologicalReceiver:linkingTotal_even_of_halvesAgree	formal-checked	
winding.writhe-not-invariant	cycle, receipt	one direction: one positive self-crossing (writhe 1); another: none (writhe 0)	the projected writhe is not projection invariant	finite exact witness	L:Foundation/TopologicalReceiver:projectedWrithe_is_not_projection_invariant	counterexample	obstructs:winding.linking-number
winding.carry-cocycle	aeon, ratio, navigator	⌊(x+y)/n⌋ = ⌊x/n⌋ + ⌊y/n⌋ + carry(x,y), carry(a,b) = ⌊(a mod n + b mod n)/n⌋ ≤ 1;  carry(a,b) + carry(a+b,c) = carry(b,c) + carry(a,b+c)	helix = circle + carry: the carry is the exact defect of additivity of the winding, a single turn or none, and a cocycle	n > 0	L:Geometry/PhaseCarry:winding_add; L:Geometry/PhaseCarry:carry_le_one; L:Geometry/PhaseCarry:carry_cocycle; L:Geometry/PhaseCarry:carry; D:docs/WINDING_CARRY_AND_PLACEMENT.md; R:holonics::geometry::winding::carry; R:holonics::geometry::winding::winding	formal-checked	
winding.carry-is-content	aeon, ratio	ℤ/4 ≄ ℤ/2 × ℤ/2 (as additive groups)	the carry from the lower level into the upper is what a product of circles lacks: the gluing is content		L:Geometry/PhaseCarry:carried_circle_is_not_the_split_product	counterexample	uses:winding.carry-cocycle
winding.closed-loop-integer	cycle, aeon, complex	Σ increments ≡ 0 mod n ⇒ Σ increments = n·w, w ∈ ℤ	a closed loop of lifted phase increments has an integer winding: the Burgers step of a screw dislocation and the carry of the loop	integer increments	L:Geometry/PhaseCarry:closed_loop_has_integer_winding; R:holonics::geometry::winding::closed_loop_winding	formal-checked	
winding.odometer	navigator, aeon, epoch, key	odometer(a,b) = (a+1, b) if a+1 < n else (0, b+1);  digits(x+1) = odometer(digits x);  odometer^k(a,b) = ((a+k) mod n, b + ⌊(a+k)/n⌋)	the odometer is +1 in the digit chart: the upper level advances by the winding of the lower (the rotor stepping of an Enigma)	a < n, n > 0	L:Geometry/PhaseCarry:odometer; L:Geometry/PhaseCarry:digits_succ; L:Geometry/PhaseCarry:odometer_iterate; R:holonics::geometry::winding::Odometer	formal-checked	uses:winding.carry-cocycle
winding.state-retains-carry	navigator, aeon	Sⁿ = C ⇒ S^(d + nk) = S^d · C^k	carried material factors through the phase modulo closure while the state retains the winding as a central carry	group element S	L:Geometry/PhaseCarry:zpow_add_mul_carry	formal-checked	uses:winding.carry-cocycle
winding.ledger	cycle, receipt, aeon	ledger(polygon) = [(site, endpoints, hand)] computed by the ray test; net = Σ hands is a face of the hand column; square: 1 upward crossing; doubled loop: two sites, winding 2; reversal swaps hands and negates the net	the crossing ledger is derived from the polygon, never declared; the winding net is a receiver face of it	exact ℤ² polygons	L:Geometry/WindingLedger:ledger; L:Geometry/WindingLedger:theNetIsAFaceOfTheLedger; L:Geometry/WindingLedger:theSquareWindsOnceAboutItsInterior; L:Geometry/WindingLedger:theDoubledLoopWindsTwiceOverTwoDistinctSites; L:Geometry/WindingLedger:theReversedLoopSwapsTheHandAndNegatesTheNet	formal-checked	
winding.crossing-site-on-ray	cycle, receipt	upward: s₂ < 0 < e₂ ∧ cross(s,e) > 0; downward: s₂ > 0 > e₂ ∧ cross(s,e) < 0; meeting abscissa = cross(s,e)/(e₂ − s₂) > 0 in both; hands exclusive	both hands cross one declared positive ray; the incidence condition is geometric, not authored	ℚ	L:Geometry/WindingLedger:theCrossingSiteIsTheAffineMeetingWithTheAxis; L:Geometry/WindingLedger:theWithTurnCrossingSitsOnThePositiveRay; L:Geometry/WindingLedger:theTwoHandsCannotBothFire	formal-checked	uses:winding.ledger
winding.two-populations-one-net	cycle, receipt, compression	square (1 crossing) and notched loop (3 crossings, + − +): net +1 both;  cancelling loop (2) and separated loop (0): net 0 both	two different crossing populations can share one winding net: the net is a lossy face	exhibited polygons	L:Geometry/WindingLedger:theTwoPopulationsShareOneNet; L:Geometry/WindingLedger:theCancellingLoopAndTheSeparatedLoopShareOneNet	counterexample	obstructs:winding.ledger
